"gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","pvalue","parameter_name","analysis_id"
"MGI:107162","Ppp3cc","C57BL","Early adult","IMPC_HEM_005_001","0.3599592","Mean cell volume","006qn9p4fwi03fa"
"MGI:2441932","Prepl","C57BL","Early adult","HRWLLA_CSD_036_001","0.2838049","Startle response","006qr4129l6rl5k"
"MGI:1918319","Stox2","C57BL","E18.5","IMPC_CBC_004_001","0.8540614","Urea (Blood Urea Nitrogen - BUN)","00743m2342c4c61"
"MGI:2384959","Cybc1","C57BL","Early adult","IMPC_DXA_004_001","0.4053446","Bone Mineral Density (excluding skull)","007k1cr98382146"
"MGI:1344333","Mid2","C57BL",NA,"IMPC_CBC_001_001","0.5702834","Sodium","0080g74q50wvj41"
"MGI:2138828","Eps8l2","C57BL","Early adult","GMC_906_001_005","0.1043636","Potassium","008d6fts89e2fk1"
"MGI:2146785","Gpsm3","C57BL","Early adult","ESLIM_015_001_010","0.4790378","Phosphorus","Inf"
"Early adult","0.6159801","MGI:88439","White blood cell count","C57BL","Cntf","0092bs01gel04of","IMPC_HEM_001_001"
"MGI:2655333","Grhl3","C57BL","Early adult","JAXLA_CSD_077_001","0.5929626","Contact righting","0095jx8830l6226"
"MGI:1923760","Trappc9","C57BL","Early adult","MGP_IMM_101_001","0","KLRG1+ NK cells - % of CD45+","009b505ang1r627"
"mgi:2682314","Zc3h4","C57BL","Early adult","IMPC_EYE_054_001","0.08276382","Min left eye lens density","009f69ixtqn1zwh"
"MGI:1922808","Spata45","C57BL","Early adult","IMPC_CBC_020_001","0.243111","Fructosamine","009fu408830ulvg"
"MGI:1922875","Mageh1","C57BL","Early adult","IMPC_ACS_037_001","0.8467162","% Pre-pulse inhibition - Global","009j59bl0gdi2mo"
"MGI:2444308","Atg4d","C57BL","Early adult","IMPC_IPG_010_001","0.3941214","Fasted blood glucose concentration","009ruff5s0me6gl"
"MGI:1925927","Rnf20","C57BL","Early adult","IMPC_HEM_004_001","0.85358","Hematocrit","00ab73b41y10ryq"
"MGI:107162","Ppp3cc","C57BL","early adult","IMPC_ECG_004_001","0.3390019","RR","00b6c53femc2397"
"MGI:1196295","Ptpn20","C57BL","Early adult","HRWLLA_OFD_011_001","0.8930407","Periphery resting time","00ckiuoa441aaq8"
"MGI:1098801","Otud4","C57BL","E18.5","IMPC_CBC_005_001","0.7020634","Creatinine","00d410aq3g517c2"
"MGI:1341868","Rfc2","C57BL","E9.5","IMPC_CSD_028_001","0.06816224","Snout size","00d67j5s7k89yfz"
"MGI:1925927","Rnf20","C57BL","E15.5","IMPC_OFD_013_001","0.7256613","Periphery average speed","00e1xg361gavx27"
"MGI:1914591","Ascl4","C57BL","Early adult","ESLIM_015_001_015","0.6756031","Alkaline phosphatase","00ekx65e3b56664"
"MGI:104859","Selenbp2","C57BL","Early adult","IMPC_ABR_004_001","0.870376","6kHz-evoked ABR Threshold","00exbrd7fmu93gd"
"MGI:3040687","Spag6","C57BL","Early adult","IMPC_OFD_020_001","0.8915446","Distance travelled - total","00f12xn61os7038"
"MGI:3648212","Klhdc7b","C57BL","Early adult","IMPC_DXA_010_001","0.5630402","Bone Area","00f349w9zz597v9"
"MGI:1925927","Rnf20","C57BL","E12.5","IMPC_GRS_009_001","0.3526855","Forelimb and hindlimb grip strength measurement mean","00f462a38732u9f"
"MGI:102849","Klkb1","C57BL","Early adult","CCP_XRY_060_001","0.8183958","Transitional vertebrae","00f75947j23i51n"
"MGI:2682314","Zc3h4","C57BL","Early adult","JAX_OFD_009_001","0.05298392","Whole arena average speed","00fd1g3r7ubz5vf"
"MGI:1915476","Efcab2","C57BL","Early adult","JAXLA_CSD_007_001","0.6328443","Coat - color - abdomen","00i07nu703w0082"
"MGI:1196234","Ccdc69","C57BL","Early adult","impc_hem_031_001","0.8001396","Lymphocyte differential count","00j5t2j46q0ux21"
"MGI:96958","Golga3","C57BL","Early adult","IMPC_OFD_007_001","0.3962322","Whole arena resting time","00j8xu0t04k4511"
"MGI:1925927","Rnf20","C57BL","Early adult","IMPC_GEL_063_001","0.5490145","Delayed embryonic development","00k6gv27db0ry02"
"MGI:2655333","Grhl3","C57BL","early adult","JAXLA_CSD_039_001","0.7754608","Limb grasp","00ko89nug3zj657"
"MGI:1099431","Sptlc1","C57BL","E9.5","HRWLLA_HEM_007_001","0.5508576","Mean cell hemoglobin concentration","00l6osm654vzt74"
"MGI:1916971","Nkiras1","C57BL","Early adult","HRWLLA_HEM_035_001","0.8433476","Eosinophil differential count","00py460s91f39eq"
"MGI:1915383","Gcsh","C57BL","Early adult","HRWLLA_CSD_029_001","0.9471605","Activity (body position)","00q9r41yo09t1vu"
"MGI:1196234","Ccdc69","C57BL","Early adult","JAXLA_EYE_016_001","0.4334733","Lens","00r0077lg024t64"
"MGI:2445173","Ppig","C57BL","Early adult","IMPC_CSD_023_001","0.2824185","Vibrissae - presence","00tnj47tyt881a0"
"MGI:1929260","Mtch2","C57BL","Early adult","ESLIM_013_001_003","0.3488777","Left retina","00v148o594kd8r0"
"MGI:1351869","Pdxk","C57BL","Early adult","GMC_923_001_001","0.05738505","Body weight","00vvzwrwnh2984d"
"MGI:1276533","Ncoa2","C57BL","E18.5","MGP_PBI_036_001","0.477822","Monocyte number","00w732fgql549h0"
"MGI:1913591","Eid3","C57BL","Early adult","IMPC_DXA_008_001","0.366585","Lean/Body weight","00wft03wj83qxs5"
"mgi:3648212","Klhdc7b","C57BL","Late adult","JAX_LDT_005_001","0.6235836","Time mobile dark side","00wz16179ftpj44"
"MGI:97525","Pde6b","C3H","early adult","IMPC_HEM_002_001","0.08251843","Red blood cell count","00xh31yh0giyya4"
"MGI:1925836","Srbd1","C57BL","Early adult","IMPC_HEM_035_001","0.4630191","Eosinophil differential count","00xw1st4n2fl789"
"MGI:1923012","Aftph","C57BL","Early adult","M-G-P_005_001_006","0.8719861","Body Length","0100016r08tf304"
"MGI:98446","Med22","C57BL","Early adult","HRWLLA_CBC_011_001","0.5503879","Iron","0100kj1m7b2pg5d"
"MGI:1925836","Srbd1","C57BL","Middle aged adult","IMPC_HEM_004_001","0.1695881","Hematocrit","010m4g1rw9vx633"
"MGI:1913687","Fis1","C57BL","Early adult","IMPC_OFD_020_001","0.885117","Distance travelled - total","0113c84rw997d6d"
"MGI:1925505","Ralgps2","C57BL","Early adult","GMC_920_001_013","0.5804808","sTV-active","011452yb6p5vb58"
"MGI:2444308","Atg4d","C57BL","Early adult","GMC_905_001_008","0.3935664","Mean corpuscular hemoglobin concentration","011bi1b81r353f0"
"MGI:1914243","Smarcd3","C57BL","E12.5","IMPC_DXA_003_001","0.9171851","Lean mass","011u9f34hz4701p"
"MGI:1351869","Pdxk","C57BL","Early adult","GMC_905_001_006","0.9709364","Mean corpuscular volume","011zpr7546a1ofs"
"MGI:1196234","Ccdc69","C57BL","Early adult","HRWL_OWT_001_001","0.536601","Spleen weight","0127m59mubojx88"
"MGI:88439","Cntf","C57BL","Early adult","GMC_906_001_021","0.3569015","Uric acid","012ai36176lr7m3"
"MGI:1915383","Gcsh","C57BL","Early adult","MGP_PBI_036_001","0.6301468","Monocyte number","012cnntku67f96h"
"MGI:1915926","Dusp22","C57BL","Early adult","IMPC_OFD_016_001","0.5905874","Center permanence time","012q1yw9z741350"
"MGI:97525","Pde6b","C57BL","Early adult","IMPC_INS_001_001","0.9557398","Insulin","012v83004e1elvc"
"MGI:2685830","Nsl1","C57BL","E9.5","IMPC_OFD_022_001","0.6046834","Percentage center time","012w9s89ly5747i"
"MGI:1918319","Stox2","C57BL","Early adult","TCP_CHL_067_001","0.7532672","PBS Peak Inspiratory Flow","01341bvfyoqvb6o"
"MGI:3652053","Gm13889","C57BL","Early adult","IMPC_DXA_004_001","0.2155961","Bone Mineral Density (excluding skull)","0136rwzj62p68t3"
"MGI:1914815","Gramd2b","C57BL","Late adult","IMPC_HEM_027_001","0.1414268","Red blood cell distribution width","013mwa0j8090643"
"MGI:1929691","Slc15a3","C57BL","Early adult","GMC_914_001_002","0.437372","Body temperature rectal","013rmyjloa1g4yr"
"MGI:1333877","Gpr50","C57BL","Early adult","IMPC_CBC_014_001","0.8514828","Alkaline phosphatase","0145096hm78flp4"
"MGI:1349438","Mprip","C53BL","E9.5","IMPC_ECH_011_001","0.4915234","LVIDs","0145569t00f4u9z"
"MGI:1915349","Cibar1","C57BL","Early adult","JAXLA_GRS_009_001","0.5865471","Forelimb and hindlimb grip strength measurement mean","0147h782y83e64s"
"MGI:1914243","Smarcd3","C57BL","E15.5","IMPC_XRY_057_001","0.5563226","Kyphosis","014e7cyev5af2d2"
"MGI:1925836","Srbd1","C57BL","Early adult","HRWLLA_HEM_008_001","0.2229072","Platelet count","014sgwh153wo3q9"
"MGI:1922808","Spata45","C57BL","Early adult","IMPC_CBC_013_001","0.9372909","Alanine aminotransferase","01518br2kla6121"
"MGI:1915476","Efcab2","C57BL","Early adult","IMPC_CSD_010_001","0.8902989","Coat - color pattern - abdomen","0152g4a432ph40x"
"MGI:88587","Cyp19a1","C57BL","Early adult","IMPC_DXA_006_001","0.1015275","Body length","015e94o0a3k22rw"
"MGI:1201374","Anxa8","C57BL","early adult","IMPC_CSD_039_001","0.1820016","Limb grasp","01606w9kizrb888"
"MGI:2442782","Baz2b","C57BL","Early adult","IMPC_HEM_003_001","0.3283982","Hemoglobin","0162q60qwc7r3wk"
"MGI:1336186","Agpat3","C57BL","Early adult","IMPC_CBC_010_001","0.2347226","Phosphorus","0164j4024130h41"
"MGI:3648212","Klhdc7b","C57BL","Late adult","IMPC_DXA_009_001","0.06714138","Fat/Body weight","0169wb5yqv1du5g"
"MGI:2684916","Ppp1r36","C57BL","Early adult","HRWLLA_OFD_013_001","0.7645268","Periphery average speed","016jpi99ng5354j"
"MGI:1344333","Mid2","C57BL","Early adult","IMPC_ACS_035_001","0.6246839","% Pre-pulse inhibition - PPI3","016tslt3g20a53g"
"MGI:1927204","Gosr2","C57BL","Early adult","IMPC_DXA_004_001","0.384215","Bone Mineral Density (excluding skull)","016u2p2mak84w0s"
"MGI:88587","Cyp19a1","C57BL","Middle aged adult","GMC_920_001_001","0.5871125","Body weight","0170o32r9d9nvqn"
"MGI:2141917","Prkd2","C57BL","Early adult","HRWLLA_OFD_019_001","0.4878377","Number of center entries","0176580o7hs7638"
"MGI:1914281","Upf3a","C57BL","Early adult","IMPC_DXA_002_001","0.2046193","Fat mass","0177754g1p52o57"
"MGI:107162","Ppp3cc","C57BL","Early adult","IMPC_GEO_009_002","0.4743537","Hemorrhage","017kiy3j0rg2p5e"
"MGI:1920723","Iws1","C57BL","E12.5","IMPC_CSD_028_001","0.6740714","Snout size","0182z9l26q01g26"
"MGI:2181434","Phc3","C53BL","Early adult","ESLIM_013_001_001","0.2674279","Eye","0186p5l16xvlx7y"
"MGI:1914591","Ascl4","C57BL","Early adult","IMPC_OFD_013_001","0.8152845","Periphery average speed","01878w987m7767b"
"MGI:1914815","Gramd2b","C57BL","Middle aged adult","IMPC_CSD_007_001","0.4295659","Coat - color - abdomen","018s0393q62z58m"
"MGI:1101781","Elf3","C57BL","Early adult","HRWLLA_OFD_009_001","0.2063983","Whole arena average speed","018vws2q05n4289"
"MGI:2146468","Urb1","C57BL","E9.5","IMPC_GEL_032_001","0.2055792","Embryo Size","019kr74301o4120"
"MGI:1098801","Otud4","C57BL","Early adult","TCP_CHL_058_001","0.4220555","12.5 Mch Tidal volume","019l45ud277tgnn"
"MGI:1918731","Alpk1","C57BL","Early adult","IMPC_CSD_027_001","0.614285","Ears","019n00gxw47755e"
"MGI:2146468","Urb1","C51BL","Early adult","JAX_LDT_003_001","0.8298292","Time mobile light side","01bemm3o02k108c"
"MGI:2141917","Prkd2","C57BL","Early adult","IMPC_GEO_043_002","0.5409397","spina bifida","01ci82x0l60o8o2"
"MGI:1336186","Agpat3","129SV","Early adult","IMPC_ABR_002_001","0.6144319","Click-evoked ABR threshold","01e1z69fbd6xiy6"
"MGI:2143539","Gls2","C57BL","Early adult","IMPC_EYE_092_001","0.1386523","Retina (combined)","01e7sy643z9q8f4"
"MGI:1923760","Trappc9","C57BL","Early adult","IMPC_GEP_004_002","0.1854236","Spontaneous movement","01fz86r1jhp795k"
"MGI:88439","Cntf","C57BL","Early adult","HRWLLA_HEM_032_001","0.7602389","Lymphocyte cell count","01h107d90f1h0s8"
"MGI:97525","Pde6b","C3H","Early adult","IMPC_GEL_063_001","0.872658","Delayed embryonic development","01hnz8a7cl0u5f2"
"MGI:2685830","Nsl1","C57BL","E9.5","ESLIM_015_001_010","0.05326648","Phosphorus","01i40her68y11nz"
"MGI:1925836","Srbd1","C57BL","E9.5","IMPC_CSD_010_001","0.4135728","Coat - color pattern - abdomen","01j4mt0b8gj32o6"
"MGI:2682314","Zc3h4","C57BL","Early adult","IMPC_CSD_010_001","5.705694e-05","Coat - color pattern - abdomen","01l0r4w65mg205p"
"MGI:1923760","Trappc9","C57BL","Early adult","impc_csd_007_001","0.6204866","Coat - color - abdomen","01lc33y3k46z7js"
"MGI:1925505","Ralgps2","C57BL","Early adult","JAX_LDT_005_001","0.4124275","Time mobile dark side","01m01vy7jc930v9"
"MGI:107162","Ppp3cc","C57BL","Early adult","IMPC_IPG_012_001","0.7208596","Area under glucose response curve","01mmc3yz4tb78m6"
"MGI:1336186","Agpat3","129SV","Early adult","IMPC_OFD_050_001","0.2117395","Percentage center movement time","01no4y67321yu7s"
"MGI:1344333","Mid2","C57BL","Early adult","JAXLA_CSD_077_001","0.7228745","Contact righting","01nqy5l5f6mqpz3"
"MGI:1920723","Iws1","C57BL","Early adult","GMC_906_001_016","0.7507583","Alpha-amylase","01o6m2p8sf40dcv"
"MGI:1196234","Ccdc69","C57BL","Early adult","IMPC_XRY_033_001","0.3198528","Tibia length","01oj3490pa328da"
"MGI:88587","Cyp19a1","C57BL","Middle aged adult","HRWLLA_HEM_007_001","0.2535947","Mean cell hemoglobin concentration","01opo11wg2b26f6"
"MGI:2445173","Ppig","C57BL","Early adult","IMPC_OFD_013_001","0.3134892","Periphery average speed","01qb016251qir6g"
"MGI:1925505","Ralgps2","C57BL","Early adult","IMPC_GEO_009_002","0.5301072","Hemorrhage","01qtv1xsycgx024"
"MGI:2146785","Gpsm3","C57BL","Early adult","JAX_OFD_020_001","0.05092057","Distance travelled - total","01s807g725323v7"
"MGI:1925836","Srbd1","C57BL","Middle aged adult","JAXLA_GRS_009_001","0.198598","Forelimb and hindlimb grip strength measurement mean","01t454ajb3t464o"
"MGI:1917036","Tprkb","C57BL","E9.5","MGP_PBI_038_001","0.8662113","Ly6Clow monocyte number","01tz09520271nx0"
"MGI:1914591","Ascl4","C57BL","Early adult","IMPC_CSD_029_001","0.9187727","Activity (body position)","01u8gcgkp8g2l6i"
"MGI:1920723","Iws1","C57BL","E12.5","HRWLLA_OFD_014_001","0.2871325","Center distance travelled","01vant1r7p5i977"
"MGI:2141917","Prkd2","C57BL","Early adult","TCP_CHL_080_001","0.8191184","50 Mch Expiratory time","01w1v0gc7pigst5"
"MGI:1920723","Iws1","C57BL","Early adult","HRWLLA_OFD_020_001","0.61475","Distance travelled - total","01w4f93757355jf"
"MGI:102849","Klkb1","C57BL","Early adult","CCP_XRY_065_001","0.2930397","Lumbar processes","01wni7ibu507e95"
"MGI:1923012","Aftph","C57BL","E18.5","MGP_CSD_068_001","0.4804953","Vibrissae","01x1as3u52f56vx"
"MGI:3648212","Klhdc7b","C57BL","Middle aged adult","IMPC_HEM_007_001","0.4135204","Mean cell hemoglobin concentration","01x937lsjuih8qm"
"MGI:1341868","Rfc2","C57BL","E9.5","HRWLLA_OFD_013_001","0.9748773","Periphery average speed","01yx3x334m9175s"
"MGI:107576","Sipa1","C57BL","Early adult","IMPC_ECG_004_001","0.1854418","RR","01yz7024ehqb12y"
"MGI:1915349","Cibar1","C57BL","Early adult","IMPC_OFD_009_001","0.8933627","Whole arena average speed","01z77z58gdmc20o"
"MGI:1918252","Mex3b","C57BL","Early adult","IMPC_GPP_002_001","0.927539","Placenta Morphology","01zae3c5de50x4s"
"MGI:2442708","Pheta1","C57BL","Early adult","TCPLA_CSD_011_001","0.4211604","Coat - hair distribution - back","020169g8nefe353"
"MGI:1918319","Stox2","C57BL","E18.5","HRWLLA_HEM_008_001","0.2334374","Platelet count","020vasmh6491d78"
"mgi:3648212","Klhdc7b","C57BL","Early adult","IMPC_CSD_027_001","1.460231e-13","Ears","0210503y17wwy3d"
"MGI:1923760","Trappc9","C57BL","Early adult","IMPC_CBC_018_001","0.09815657","Glucose","0212p1tmux91318"
"MGI:1918319","Stox2","C57BL","Early adult","IMPC_GRS_011_001","0.4780605","Forelimb and hindlimb grip strength normalised against body weight","021mb160fxxx598"
"MGI:3648212","Klhdc7b","C57BL","Late adult","IMPC_XRY_033_001","0.399749","Tibia length","021mo4nozlqy77x"
"MGI:96878","Blnk","C57BL","Early adult","IMPC_IPG_012_001","0.05633049","Area under glucose response curve","0222gel05xcq579"
"MGI:1201374","Anxa8","C57BL","Early adult","GMC_905_001_007","0.4390074","Mean corpuscular hemoglobin","0223793e169g370"
"MGI:1099431","Sptlc1","C57BL","Early adult","HRWL_OWT_001_001","0.4135742","Spleen weight","0224m3a3dw5a14a"
"MGI:1914281","Upf3a","C57BL","Early adult","IMPC_GRS_009_001","0.6309738","Forelimb and hindlimb grip strength measurement mean","0226y8x2344r6e3"
"MGI:3037818","Cxcl3","C57BL","Early adult","IMPC_ABR_002_001","0.19553","Click-evoked ABR threshold","0227jkj2fme58hk"
"MGI:1349438","Mprip","C57BL","E9.5","M-G-P_005_001_004","0.292285","Bone Mineral Density (excluding skull)","02282920pqqr3s3"
"MGI:1333877","Gpr50","C57BL","Early adult","HRWLLA_HEM_008_001","0.8568486","Platelet count","022him8z0w37qh2"
"MGI:2146785","Gpsm3","C57BL","Early adult","HRWLLA_OFD_007_001","0.3328422","Whole arena resting time","022nlpzb7503wm9"
"MGI:3648212","Klhdc7b","C57BL","Middle aged adult","IMPC_OWT_023_001","0.2878998","Whole liver weight","02300bqj0116kn0"
"MGI:1929691","Slc15a3","C57BL","Early adult","IMPC_CSD_029_001","0.1128736","Activity (body position)","0232daq537ssi3g"
"MGI:2684762","Lzts1","C57BL","Early adult","HRWLLA_CBC_011_001","0.9039092","Iron","02357870758dijp"
"MGI:1338849","S100a3","C57BL","Early adult","IMPC_OFD_020_001","0.3780877","Distance travelled - total","023722690e81w6r"
"MGI:1336186","Agpat3","129SV","Early adult","IMPC_CBC_023_001","0.8117932","Alpha-amylase","023ma370r42be41"
"MGI:3648212","Klhdc7b","C57BL","Early adult","ESLIM_015_001_016","0.955672","Alpha-amylase","023omlb273331ab"
"MGI:1914591","Ascl4","C57BL","Early adult","IMPC_EYE_016_001","0.2867837","Lens","023s300pt9xx9d4"
"MGI:1925927","Rnf20","C57BL","Early adult","IMPC_OFD_014_001","0.2324345","Center distance travelled","023y93oklt79v4d"
"MGI:1917565","Hdac8","C57BL","early adult","TCP_CHL_067_001","0.7865587","PBS Peak Inspiratory Flow","02447x6ac2s4b94"
"MGI:2444233","Ythdf2","C57BL","Early adult","IMPC_EYE_025_001","0.371973","Retinal Blood Vessels Structure","024rw08tg07625b"
"MGI:1098801","Otud4","C57BL","E18.5","HRWLLA_CSD_033_001","0.8335019","Gait","0250432b6b3szob"
"MGI:1914109","Slc16a9","C57BL","Early adult","CCP_XRY_020_001","0.394987","Processes on vertebrae","025183d7cb75605"
"MGI:1920723","Iws1","C57BL","E9.5","HRWLLA_HEM_008_001","0.9107629","Platelet count","0267084797wf446"
"MGI:1277143","Gtf2h3","C57BL","E9.5","IMPC_DXA_003_001","0.5111034","Lean mass","026hl1u74321401"
"MGI:1099431","Sptlc1","C57BL","Middle aged adult","TCP_CHL_056_001","0.7180179","baseline Tidal volume","02776n7a495suq0"
"MGI:96878","BLNK","C57BL","Early adult","IMPC_ABR_002_001","0.3148715","Click-evoked ABR threshold","027i3y3xf79rf51"
"MGI:1922875","Mageh1","C57BL","Early adult","IMPC_CSD_080_001","0.5557711","Head bobbing","027lldj580nnw05"
"MGI:1925836","Srbd1","C57BL","E9.5","HRWLLA_HEM_001_001","0.4691673","White blood cell count","027o58uo8qm6ala"
"MGI:1277143","Gtf2h3","C57BL","E12.5","GMC_914_001_002","0.2606815","Body temperature rectal","0285bx8g3951fo0"
"MGI:1923012","Aftph","C57BL","Early adult","IMPC_HEM_039_001","0.8833738","Large Unstained Cell (LUC) count","028pm5p72012h31"
"MGI:1349438","Mprip","C57BL","E15.5","JAXLA_EYE_016_001","0.6859572","Lens","0298f7ux03156a6"
"MGI:1914243","Smarcd3","C57BL","Early adult","MGP_IMM_067_001","0.4033282","CD11b-low cDC - % of cDC","029b92rekd2ee98"
"MGI:88587","Cyp19a1","C57BL","Middle aged adult","IMPC_HEM_034_001","0.6853204","Monocyte cell count","029i8099s33n620"
"MGI:1915476","Efcab2","C57BL","Early adult","ESLIM_015_001_002","0.5119891","Urea","02b2ji2tam6k6qw"
"MGI:2141917","Prkd2","C57BL","Early adult","CCP_XRY_020_001","0.8926205","Processes on vertebrae","02b8depb315645j"
"MGI:2444611","Ipo8","C57BL","Early adult","HRWLLA_CSD_029_001","0.5560633","Activity (body position)","02d5m1cty9279fc"
"MGI:1098801","Otud4","C57BL","E18.5","MGP_CSD_068_001","0.3113784","Vibrissae","02d80h97nbgradp"
"MGI:1918946","Abhd8","C57BL","Early adult","JAXLA_CSD_039_001","0.9387764","Limb grasp","02d8x46no5e2c53"
"MGI:1914815","Gramd2b","C57BL","Middle aged adult","IMPC_CBC_006_001","0.9581409","Total protein","02e1p74o5850npc"
"MGI:1925927","Rnf20","C57BL","Early adult","IMPC_OFD_020_001","0.6874962","Distance travelled - total","02e49fvr042ba71"
