impcParameterOrigId,name,description,isMandatory
37900,Insulin Blood Level,The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].,FALSE
37901,Insulin Blood Level,The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].,FALSE
37902,Insulin Blood Level,The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].,FALSE
37903,Insulin Blood Level,The insulin concentration in the blood is an important indicator of diabetes.Ontological description: abnormal circulating insulin level [MP:0001560]; increased circulating insulin level [MP:0002079]; decreased circulating insulin level [MP:0002727].,FALSE
89737,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89738,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89739,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89740,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89741,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89742,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89743,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89744,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89745,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89747,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89748,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89749,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89750,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89751,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89752,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89753,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89754,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89755,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89756,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89757,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89758,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89759,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89760,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89761,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89762,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89763,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89764,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
89765,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
90855,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
90856,Electrocardiogram (ECG),To provide a high throughput method to obtain Electrocardiograms in a conscious mouse or an anesthetized mouse.,TRUE
22110,Gross Pathology and Tissue Collection,No description available,TRUE
22111,Gross Pathology and Tissue Collection,No description available,TRUE
22112,Gross Pathology and Tissue Collection,No description available,TRUE
22113,Gross Pathology and Tissue Collection,No description available,TRUE
22114,Gross Pathology and Tissue Collection,No description available,TRUE
22115,Gross Pathology and Tissue Collection,No description available,TRUE
22116,Gross Pathology and Tissue Collection,No description available,TRUE
22117,Gross Pathology and Tissue Collection,No description available,TRUE
22118,Gross Pathology and Tissue Collection,No description available,TRUE
22119,Gross Pathology and Tissue Collection,No description available,TRUE
22120,Gross Pathology and Tissue Collection,No description available,TRUE
22121,Gross Pathology and Tissue Collection,No description available,TRUE
22122,Gross Pathology and Tissue Collection,No description available,TRUE
22123,Gross Pathology and Tissue Collection,No description available,TRUE
22124,Gross Pathology and Tissue Collection,No description available,TRUE
22125,Gross Pathology and Tissue Collection,No description available,TRUE
22126,Gross Pathology and Tissue Collection,No description available,TRUE
22127,Gross Pathology and Tissue Collection,No description available,TRUE
22128,Gross Pathology and Tissue Collection,No description available,TRUE
22129,Gross Pathology and Tissue Collection,No description available,TRUE
22130,Gross Pathology and Tissue Collection,No description available,TRUE
22131,Gross Pathology and Tissue Collection,No description available,TRUE
22132,Gross Pathology and Tissue Collection,No description available,TRUE
22133,Gross Pathology and Tissue Collection,No description available,TRUE
22134,Gross Pathology and Tissue Collection,No description available,TRUE
22135,Gross Pathology and Tissue Collection,No description available,TRUE
22136,Gross Pathology and Tissue Collection,No description available,TRUE
22137,Gross Pathology and Tissue Collection,No description available,TRUE
22138,Gross Pathology and Tissue Collection,No description available,TRUE
22139,Gross Pathology and Tissue Collection,No description available,TRUE
22140,Gross Pathology and Tissue Collection,No description available,TRUE
22141,Gross Pathology and Tissue Collection,No description available,TRUE
22142,Gross Pathology and Tissue Collection,No description available,TRUE
22143,Gross Pathology and Tissue Collection,No description available,TRUE
22144,Gross Pathology and Tissue Collection,No description available,TRUE
22145,Gross Pathology and Tissue Collection,No description available,TRUE
22146,Gross Pathology and Tissue Collection,No description available,TRUE
22147,Gross Pathology and Tissue Collection,No description available,TRUE
22148,Gross Pathology and Tissue Collection,No description available,TRUE
22149,Gross Pathology and Tissue Collection,No description available,TRUE
22150,Gross Pathology and Tissue Collection,No description available,TRUE
22151,Gross Pathology and Tissue Collection,No description available,TRUE
75512,Histopathology,No description available,FALSE
75513,Histopathology,No description available,FALSE
75514,Histopathology,No description available,FALSE
75515,Histopathology,No description available,FALSE
75516,Histopathology,No description available,FALSE
75517,Histopathology,No description available,FALSE
75518,Histopathology,No description available,FALSE
75519,Histopathology,No description available,FALSE
75520,Histopathology,No description available,FALSE
75521,Histopathology,No description available,FALSE
75522,Histopathology,No description available,FALSE
75523,Histopathology,No description available,FALSE
75524,Histopathology,No description available,FALSE
75525,Histopathology,No description available,FALSE
75526,Histopathology,No description available,FALSE
75527,Histopathology,No description available,FALSE
75528,Histopathology,No description available,FALSE
75529,Histopathology,No description available,FALSE
75530,Histopathology,No description available,FALSE
75531,Histopathology,No description available,FALSE
75532,Histopathology,No description available,FALSE
75533,Histopathology,No description available,FALSE
75534,Histopathology,No description available,FALSE
75535,Histopathology,No description available,FALSE
75536,Histopathology,No description available,FALSE
75537,Histopathology,No description available,FALSE
75538,Histopathology,No description available,FALSE
75539,Histopathology,No description available,FALSE
75540,Histopathology,No description available,FALSE
75541,Histopathology,No description available,FALSE
75542,Histopathology,No description available,FALSE
75543,Histopathology,No description available,FALSE
75544,Histopathology,No description available,FALSE
75545,Histopathology,No description available,FALSE
75546,Histopathology,No description available,FALSE
75547,Histopathology,No description available,FALSE
75548,Histopathology,No description available,FALSE
75549,Histopathology,No description available,FALSE
75550,Histopathology,No description available,FALSE
75551,Histopathology,No description available,FALSE
75552,Histopathology,No description available,FALSE
75553,Histopathology,No description available,FALSE
75554,Histopathology,No description available,FALSE
75555,Histopathology,No description available,FALSE
75556,Histopathology,No description available,FALSE
75557,Histopathology,No description available,FALSE
75558,Histopathology,No description available,FALSE
75559,Histopathology,No description available,FALSE
75560,Histopathology,No description available,FALSE
75561,Histopathology,No description available,FALSE
75562,Histopathology,No description available,FALSE
75563,Histopathology,No description available,FALSE
75564,Histopathology,No description available,FALSE
75565,Histopathology,No description available,FALSE
75566,Histopathology,No description available,FALSE
75567,Histopathology,No description available,FALSE
75568,Histopathology,No description available,FALSE
75569,Histopathology,No description available,FALSE
75570,Histopathology,No description available,FALSE
75571,Histopathology,No description available,FALSE
75572,Histopathology,No description available,FALSE
75573,Histopathology,No description available,FALSE
75574,Histopathology,No description available,FALSE
75575,Histopathology,No description available,FALSE
75576,Histopathology,No description available,FALSE
75577,Histopathology,No description available,FALSE
75578,Histopathology,No description available,FALSE
75579,Histopathology,No description available,FALSE
75580,Histopathology,No description available,FALSE
75581,Histopathology,No description available,FALSE
75582,Histopathology,No description available,FALSE
75583,Histopathology,No description available,FALSE
75584,Histopathology,No description available,FALSE
75585,Histopathology,No description available,FALSE
75586,Histopathology,No description available,FALSE
75587,Histopathology,No description available,FALSE
75588,Histopathology,No description available,FALSE
75589,Histopathology,No description available,FALSE
75590,Histopathology,No description available,FALSE
75591,Histopathology,No description available,FALSE
75592,Histopathology,No description available,FALSE
75593,Histopathology,No description available,FALSE
75594,Histopathology,No description available,FALSE
75595,Histopathology,No description available,FALSE
75596,Histopathology,No description available,FALSE
75597,Histopathology,No description available,FALSE
75598,Histopathology,No description available,FALSE
75599,Histopathology,No description available,FALSE
75600,Histopathology,No description available,FALSE
75601,Histopathology,No description available,FALSE
75602,Histopathology,No description available,FALSE
75603,Histopathology,No description available,FALSE
75604,Histopathology,No description available,FALSE
75605,Histopathology,No description available,FALSE
75606,Histopathology,No description available,FALSE
75607,Histopathology,No description available,FALSE
75608,Histopathology,No description available,FALSE
75609,Histopathology,No description available,FALSE
75610,Histopathology,No description available,FALSE
75611,Histopathology,No description available,FALSE
75612,Histopathology,No description available,FALSE
75613,Histopathology,No description available,FALSE
75614,Histopathology,No description available,FALSE
75615,Histopathology,No description available,FALSE
75616,Histopathology,No description available,FALSE
75617,Histopathology,No description available,FALSE
75618,Histopathology,No description available,FALSE
75619,Histopathology,No description available,FALSE
75620,Histopathology,No description available,FALSE
75621,Histopathology,No description available,FALSE
75622,Histopathology,No description available,FALSE
75623,Histopathology,No description available,FALSE
75624,Histopathology,No description available,FALSE
75625,Histopathology,No description available,FALSE
75626,Histopathology,No description available,FALSE
75627,Histopathology,No description available,FALSE
75628,Histopathology,No description available,FALSE
75629,Histopathology,No description available,FALSE
75630,Histopathology,No description available,FALSE
75631,Histopathology,No description available,FALSE
75632,Histopathology,No description available,FALSE
75633,Histopathology,No description available,FALSE
75634,Histopathology,No description available,FALSE
75635,Histopathology,No description available,FALSE
75636,Histopathology,No description available,FALSE
75637,Histopathology,No description available,FALSE
75638,Histopathology,No description available,FALSE
75639,Histopathology,No description available,FALSE
75640,Histopathology,No description available,FALSE
75641,Histopathology,No description available,FALSE
75642,Histopathology,No description available,FALSE
75643,Histopathology,No description available,FALSE
75644,Histopathology,No description available,FALSE
75645,Histopathology,No description available,FALSE
75646,Histopathology,No description available,FALSE
75647,Histopathology,No description available,FALSE
75648,Histopathology,No description available,FALSE
75649,Histopathology,No description available,FALSE
75650,Histopathology,No description available,FALSE
75651,Histopathology,No description available,FALSE
75652,Histopathology,No description available,FALSE
75653,Histopathology,No description available,FALSE
75654,Histopathology,No description available,FALSE
75655,Histopathology,No description available,FALSE
75656,Histopathology,No description available,FALSE
75657,Histopathology,No description available,FALSE
75658,Histopathology,No description available,FALSE
75659,Histopathology,No description available,FALSE
75660,Histopathology,No description available,FALSE
75661,Histopathology,No description available,FALSE
75662,Histopathology,No description available,FALSE
75663,Histopathology,No description available,FALSE
75664,Histopathology,No description available,FALSE
75665,Histopathology,No description available,FALSE
75666,Histopathology,No description available,FALSE
75667,Histopathology,No description available,FALSE
75668,Histopathology,No description available,FALSE
75669,Histopathology,No description available,FALSE
75670,Histopathology,No description available,FALSE
75671,Histopathology,No description available,FALSE
75672,Histopathology,No description available,FALSE
75673,Histopathology,No description available,FALSE
75674,Histopathology,No description available,FALSE
75675,Histopathology,No description available,FALSE
75676,Histopathology,No description available,FALSE
75677,Histopathology,No description available,FALSE
75678,Histopathology,No description available,FALSE
75679,Histopathology,No description available,FALSE
75680,Histopathology,No description available,FALSE
75681,Histopathology,No description available,FALSE
75682,Histopathology,No description available,FALSE
75683,Histopathology,No description available,FALSE
75684,Histopathology,No description available,FALSE
75685,Histopathology,No description available,FALSE
75686,Histopathology,No description available,FALSE
75687,Histopathology,No description available,FALSE
75688,Histopathology,No description available,FALSE
75689,Histopathology,No description available,FALSE
75690,Histopathology,No description available,FALSE
75691,Histopathology,No description available,FALSE
75692,Histopathology,No description available,FALSE
75693,Histopathology,No description available,FALSE
75694,Histopathology,No description available,FALSE
75695,Histopathology,No description available,FALSE
75696,Histopathology,No description available,FALSE
75697,Histopathology,No description available,FALSE
75698,Histopathology,No description available,FALSE
75699,Histopathology,No description available,FALSE
75700,Histopathology,No description available,FALSE
75701,Histopathology,No description available,FALSE
75702,Histopathology,No description available,FALSE
75703,Histopathology,No description available,FALSE
75704,Histopathology,No description available,FALSE
75705,Histopathology,No description available,FALSE
75706,Histopathology,No description available,FALSE
75707,Histopathology,No description available,FALSE
75708,Histopathology,No description available,FALSE
75709,Histopathology,No description available,FALSE
75710,Histopathology,No description available,FALSE
75711,Histopathology,No description available,FALSE
75712,Histopathology,No description available,FALSE
75713,Histopathology,No description available,FALSE
75714,Histopathology,No description available,FALSE
75715,Histopathology,No description available,FALSE
75716,Histopathology,No description available,FALSE
75717,Histopathology,No description available,FALSE
75718,Histopathology,No description available,FALSE
75719,Histopathology,No description available,FALSE
75720,Histopathology,No description available,FALSE
75721,Histopathology,No description available,FALSE
75722,Histopathology,No description available,FALSE
75723,Histopathology,No description available,FALSE
75724,Histopathology,No description available,FALSE
75725,Histopathology,No description available,FALSE
75726,Histopathology,No description available,FALSE
75727,Histopathology,No description available,FALSE
75728,Histopathology,No description available,FALSE
75729,Histopathology,No description available,FALSE
75730,Histopathology,No description available,FALSE
75731,Histopathology,No description available,FALSE
75732,Histopathology,No description available,FALSE
75733,Histopathology,No description available,FALSE
75734,Histopathology,No description available,FALSE
75735,Histopathology,No description available,FALSE
75736,Histopathology,No description available,FALSE
75737,Histopathology,No description available,FALSE
75738,Histopathology,No description available,FALSE
75739,Histopathology,No description available,FALSE
75740,Histopathology,No description available,FALSE
75741,Histopathology,No description available,FALSE
75742,Histopathology,No description available,FALSE
75743,Histopathology,No description available,FALSE
75744,Histopathology,No description available,FALSE
75745,Histopathology,No description available,FALSE
75746,Histopathology,No description available,FALSE
75747,Histopathology,No description available,FALSE
75748,Histopathology,No description available,FALSE
75749,Histopathology,No description available,FALSE
75750,Histopathology,No description available,FALSE
75751,Histopathology,No description available,FALSE
75752,Histopathology,No description available,FALSE
75753,Histopathology,No description available,FALSE
75754,Histopathology,No description available,FALSE
75755,Histopathology,No description available,FALSE
75756,Histopathology,No description available,FALSE
75757,Histopathology,No description available,FALSE
75758,Histopathology,No description available,FALSE
75759,Histopathology,No description available,FALSE
75760,Histopathology,No description available,FALSE
75761,Histopathology,No description available,FALSE
75762,Histopathology,No description available,FALSE
75763,Histopathology,No description available,FALSE
75764,Histopathology,No description available,FALSE
75765,Histopathology,No description available,FALSE
75766,Histopathology,No description available,FALSE
75767,Histopathology,No description available,FALSE
75768,Histopathology,No description available,FALSE
75769,Histopathology,No description available,FALSE
75770,Histopathology,No description available,FALSE
75771,Histopathology,No description available,FALSE
75772,Histopathology,No description available,FALSE
75773,Histopathology,No description available,FALSE
75774,Histopathology,No description available,FALSE
75775,Histopathology,No description available,FALSE
75776,Histopathology,No description available,FALSE
75777,Histopathology,No description available,FALSE
75778,Histopathology,No description available,FALSE
75779,Histopathology,No description available,FALSE
75780,Histopathology,No description available,FALSE
75781,Histopathology,No description available,FALSE
75782,Histopathology,No description available,FALSE
75783,Histopathology,No description available,FALSE
75784,Histopathology,No description available,FALSE
75785,Histopathology,No description available,FALSE
75786,Histopathology,No description available,FALSE
75787,Histopathology,No description available,FALSE
75788,Histopathology,No description available,FALSE
75789,Histopathology,No description available,FALSE
75790,Histopathology,No description available,FALSE
75791,Histopathology,No description available,FALSE
75792,Histopathology,No description available,FALSE
75793,Histopathology,No description available,FALSE
75794,Histopathology,No description available,FALSE
75795,Histopathology,No description available,FALSE
75796,Histopathology,No description available,FALSE
75797,Histopathology,No description available,FALSE
75798,Histopathology,No description available,FALSE
75799,Histopathology,No description available,FALSE
75800,Histopathology,No description available,FALSE
75801,Histopathology,No description available,FALSE
75802,Histopathology,No description available,FALSE
75803,Histopathology,No description available,FALSE
75804,Histopathology,No description available,FALSE
75805,Histopathology,No description available,FALSE
75806,Histopathology,No description available,FALSE
75807,Histopathology,No description available,FALSE
75808,Histopathology,No description available,FALSE
75809,Histopathology,No description available,FALSE
75810,Histopathology,No description available,FALSE
75811,Histopathology,No description available,FALSE
75812,Histopathology,No description available,FALSE
75813,Histopathology,No description available,FALSE
75814,Histopathology,No description available,FALSE
75815,Histopathology,No description available,FALSE
75816,Histopathology,No description available,FALSE
75817,Histopathology,No description available,FALSE
75818,Histopathology,No description available,FALSE
75819,Histopathology,No description available,FALSE
75820,Histopathology,No description available,FALSE
75821,Histopathology,No description available,FALSE
75822,Histopathology,No description available,FALSE
75823,Histopathology,No description available,FALSE
75824,Histopathology,No description available,FALSE
75825,Histopathology,No description available,FALSE
75826,Histopathology,No description available,FALSE
75827,Histopathology,No description available,FALSE
75828,Histopathology,No description available,FALSE
75829,Histopathology,No description available,FALSE
75830,Histopathology,No description available,FALSE
75831,Histopathology,No description available,FALSE
75832,Histopathology,No description available,FALSE
75833,Histopathology,No description available,FALSE
75834,Histopathology,No description available,FALSE
75835,Histopathology,No description available,FALSE
75836,Histopathology,No description available,FALSE
75837,Histopathology,No description available,FALSE
75838,Histopathology,No description available,FALSE
75839,Histopathology,No description available,FALSE
75840,Histopathology,No description available,FALSE
75841,Histopathology,No description available,FALSE
75842,Histopathology,No description available,FALSE
75843,Histopathology,No description available,FALSE
75844,Histopathology,No description available,FALSE
75845,Histopathology,No description available,FALSE
75846,Histopathology,No description available,FALSE
75847,Histopathology,No description available,FALSE
75848,Histopathology,No description available,FALSE
75849,Histopathology,No description available,FALSE
75850,Histopathology,No description available,FALSE
75851,Histopathology,No description available,FALSE
75852,Histopathology,No description available,FALSE
75853,Histopathology,No description available,FALSE
75854,Histopathology,No description available,FALSE
75855,Histopathology,No description available,FALSE
75856,Histopathology,No description available,FALSE
75857,Histopathology,No description available,FALSE
75858,Histopathology,No description available,FALSE
75859,Histopathology,No description available,FALSE
75860,Histopathology,No description available,FALSE
75861,Histopathology,No description available,FALSE
75862,Histopathology,No description available,FALSE
75863,Histopathology,No description available,FALSE
75864,Histopathology,No description available,FALSE
75865,Histopathology,No description available,FALSE
75866,Histopathology,No description available,FALSE
75867,Histopathology,No description available,FALSE
75868,Histopathology,No description available,FALSE
75869,Histopathology,No description available,FALSE
75870,Histopathology,No description available,FALSE
75871,Histopathology,No description available,FALSE
75872,Histopathology,No description available,FALSE
75873,Histopathology,No description available,FALSE
75874,Histopathology,No description available,FALSE
75875,Histopathology,No description available,FALSE
75876,Histopathology,No description available,FALSE
75877,Histopathology,No description available,FALSE
75878,Histopathology,No description available,FALSE
75879,Histopathology,No description available,FALSE
75880,Histopathology,No description available,FALSE
75881,Histopathology,No description available,FALSE
75882,Histopathology,No description available,FALSE
75883,Histopathology,No description available,FALSE
75884,Histopathology,No description available,FALSE
75885,Histopathology,No description available,FALSE
75886,Histopathology,No description available,FALSE
75887,Histopathology,No description available,FALSE
75888,Histopathology,No description available,FALSE
75889,Histopathology,No description available,FALSE
75890,Histopathology,No description available,FALSE
75891,Histopathology,No description available,FALSE
75892,Histopathology,No description available,FALSE
85609,Histopathology,No description available,FALSE
67597,Welfare Observations,The Welfare Observations procedure is used for the recording of welfare issues as and when they occur.,FALSE
67598,Welfare Observations,The Welfare Observations procedure is used for the recording of welfare issues as and when they occur.,FALSE
67599,Welfare Observations,The Welfare Observations procedure is used for the recording of welfare issues as and when they occur.,FALSE
67600,Welfare Observations,The Welfare Observations procedure is used for the recording of welfare issues as and when they occur.,FALSE
74120,Welfare Observations,The Welfare Observations procedure is used for the recording of welfare issues as and when they occur.,FALSE
42538,Gross Morphology Embryo E9.5,No description available,FALSE
42539,Gross Morphology Embryo E9.5,No description available,FALSE
42540,Gross Morphology Embryo E9.5,No description available,FALSE
42541,Gross Morphology Embryo E9.5,No description available,FALSE
42542,Gross Morphology Embryo E9.5,No description available,FALSE
42543,Gross Morphology Embryo E9.5,No description available,FALSE
42544,Gross Morphology Embryo E9.5,No description available,FALSE
42545,Gross Morphology Embryo E9.5,No description available,FALSE
42546,Gross Morphology Embryo E9.5,No description available,FALSE
42547,Gross Morphology Embryo E9.5,No description available,FALSE
42548,Gross Morphology Embryo E9.5,No description available,FALSE
42549,Gross Morphology Embryo E9.5,No description available,FALSE
42550,Gross Morphology Embryo E9.5,No description available,FALSE
42551,Gross Morphology Embryo E9.5,No description available,FALSE
42552,Gross Morphology Embryo E9.5,No description available,FALSE
42553,Gross Morphology Embryo E9.5,No description available,FALSE
42554,Gross Morphology Embryo E9.5,No description available,FALSE
42555,Gross Morphology Embryo E9.5,No description available,FALSE
42556,Gross Morphology Embryo E9.5,No description available,FALSE
42557,Gross Morphology Embryo E9.5,No description available,FALSE
42558,Gross Morphology Embryo E9.5,No description available,FALSE
42559,Gross Morphology Embryo E9.5,No description available,FALSE
42560,Gross Morphology Embryo E9.5,No description available,FALSE
42561,Gross Morphology Embryo E9.5,No description available,FALSE
42562,Gross Morphology Embryo E9.5,No description available,FALSE
42563,Gross Morphology Embryo E9.5,No description available,FALSE
42564,Gross Morphology Embryo E9.5,No description available,FALSE
42565,Gross Morphology Embryo E9.5,No description available,FALSE
42566,Gross Morphology Embryo E9.5,No description available,FALSE
42567,Gross Morphology Embryo E9.5,No description available,FALSE
42568,Gross Morphology Embryo E9.5,No description available,FALSE
42569,Gross Morphology Embryo E9.5,No description available,FALSE
42570,Gross Morphology Embryo E9.5,No description available,FALSE
42571,Gross Morphology Embryo E9.5,No description available,FALSE
42572,Gross Morphology Embryo E9.5,No description available,FALSE
42573,Gross Morphology Embryo E9.5,No description available,FALSE
42574,Gross Morphology Embryo E9.5,No description available,FALSE
42575,Gross Morphology Embryo E9.5,No description available,FALSE
42576,Gross Morphology Embryo E9.5,No description available,FALSE
42577,Gross Morphology Embryo E9.5,No description available,FALSE
42578,Gross Morphology Embryo E9.5,No description available,FALSE
42579,Gross Morphology Embryo E9.5,No description available,FALSE
89677,Housing and Husbandry,Housing_and_husbandry,FALSE
89678,Housing and Husbandry,Housing_and_husbandry,FALSE
89679,Housing and Husbandry,Housing_and_husbandry,FALSE
89680,Housing and Husbandry,Housing_and_husbandry,FALSE
89681,Housing and Husbandry,Housing_and_husbandry,FALSE
89682,Housing and Husbandry,Housing_and_husbandry,FALSE
89683,Housing and Husbandry,Housing_and_husbandry,FALSE
89684,Housing and Husbandry,Housing_and_husbandry,FALSE
89685,Housing and Husbandry,Housing_and_husbandry,FALSE
89686,Housing and Husbandry,Housing_and_husbandry,FALSE
89687,Housing and Husbandry,Housing_and_husbandry,FALSE
89688,Housing and Husbandry,Housing_and_husbandry,FALSE
