"impcParameterOrigId","name","description","parameterId"
73119,"3rd ventricle",NA,"IMPC_EMA_046_001"
52287,"3rd ventricle","3rd_ventricle","IMPC_EMO_018_001"
73116,"4th Ventricle",NA,"IMPC_EMA_043_001"
52289,"4th ventricle","4th_ventricle","IMPC_EMO_020_001"
72175,"4th ventricle",NA,"IMPC_EOL_014_001"
73115,"4th ventricle choroid plexus",NA,"IMPC_EMA_042_001"
52302,"4th ventricle choroid plexus","4th_ventricle_choroid_plexus","IMPC_EMO_033_001"
29210,"6kHz-evoked ABR Threshold","6khz_evoked_abr_threshold","IMPC_ABR_004_001"
29211,"6kHz-evoked ABR waveforms (numerical format)","6khz_evoked_abr_waveforms_numerical_format_","IMPC_ABR_005_001"
45477,"Abdominal wall",NA,"IMPC_GEM_061_001"
90856,"Abnormal ECG detected",NA,"IMPC_ECG_031_001"
41917,"Abnormal Gastrulation","abnormal_gastrulation","IMPC_GEL_010_001"
44239,"Absent Heartbeat",NA,"IMPC_GEM_008_002"
44542,"Absent heartbeat","absent_heartbeat","IMPC_GEO_007_002"
30975,"Acclimation period",NA,"IMPC_CAL_041_001"
18111,"Acclimation to respirometry cages","acclimation_to_respirometry_cages","IMPC_CAL_012_001"
52063,"Acclimatisation time (minimum)","acclimatisation_time_minimum","IMPC_YMZ_011_001"
35602,"Acoustic startle response measure",NA,"IMPC_ACS_040_001"
38127,"Activity (body position)","activity_body_position_","IMPC_CSD_029_001"
31378,"Additional Outcome",NA,"IMPC_VIA_002_001"
31409,"Additional Subviable Outcome",NA,"IMPC_VIA_033_001"
22693,"Additional tissues","additional_tissues","IMPC_BLK_042_001"
73209,"Adrenal gland",NA,"IMPC_EMA_136_001"
27568,"Adrenal gland","adrenal","IMPC_ALZ_001_001"
36954,"Adrenal gland","adrenal_gland","IMPC_PAT_018_002"
48255,"Adrenal gland",NA,"IMPC_HIS_317_001"
48075,"Adrenal gland - Description",NA,"IMPC_HIS_108_001"
75512,"Adrenal gland - Descriptor PATO",NA,"IMPC_HIS_107_001"
48074,"Adrenal gland - Descriptor PATO",NA,"IMPC_HIS_107_001"
48071,"Adrenal gland - Free text diagnostic term",NA,"IMPC_HIS_104_001"
75513,"Adrenal gland - MA term",NA,"IMPC_HIS_350_001"
48070,"Adrenal gland - MPATH diagnostic term",NA,"IMPC_HIS_103_001"
75514,"Adrenal gland - MPATH pathological entity term",NA,"IMPC_HIS_103_002"
75515,"Adrenal gland - MPATH pathological process term",NA,"IMPC_HIS_105_002"
48072,"Adrenal gland - MPATH process term",NA,"IMPC_HIS_105_001"
48073,"Adrenal gland - Severity score",NA,"IMPC_HIS_106_001"
48305,"Adrenal gland - Significance score",NA,"IMPC_HIS_196_002"
31406,"Age of pups at genotype",NA,"IMPC_VIA_030_001"
66135,"Age of pups at genotype",NA,"IMPC_VIA_030_001"
27333,"Age of set up","age_of_set_up","IMPC_FER_014_001"
27340,"Age of set up (Female screen)",NA,"IMPC_FER_021_001"
27339,"Age of set up (Male screen)",NA,"IMPC_FER_020_001"
38162,"Aggression","aggression","IMPC_CSD_079_001"
37390,"Alanine aminotransferase","alanine_aminotransferase","IMPC_CBC_013_001"
37384,"Albumin","albumin","IMPC_CBC_007_001"
44496,"Alive","alive","IMPC_GEO_001_001"
37391,"Alkaline phosphatase","alkaline_phosphatase","IMPC_CBC_014_001"
41921,"Allantois Morphology","allantois_morphology","IMPC_GEL_014_001"
37400,"Alpha-amylase","alpha_amylase","IMPC_CBC_023_001"
52059,"Alternate arm entry ratio per number of triplets","alternate_arm_entry_ratio","IMPC_YMZ_007_001"
52081,"Alternating start arm",NA,"IMPC_YMZ_029_001"
52057,"Alternation ratio per number of triplets","alternation_ratio","IMPC_YMZ_005_001"
18105,"Ambulatory activity  (no. of beam cuts)","ambulatory_activity_no_of_beam_cuts_","IMPC_CAL_006_001"
91497,"Amount of formalin injected",NA,"IMPC_FOR_009_001"
91495,"Anaesthetic",NA,"IMPC_FOR_007_001"
89760,"Analysis Software",NA,"IMPC_ECG_024_001"
92272,"Analysis results file","A csv file with the analysis results for the mutant line","IMPC_IMM_328_001"
67973,"Anesthesia",NA,"IMPC_IMM_081_002"
19002,"Anesthesia","anesthesia","IMPC_DXA_015_001"
37413,"Anesthesia used for blood collection","anesthesia_used_for_blood_collection","IMPC_CBC_036_001"
89754,"Anesthetic",NA,"IMPC_ECG_019_001"
29252,"Anesthetic administration route","anesthetic_administration_route","IMPC_ABR_046_001"
29248,"Anesthetic agent 1","anesthetic_agent_1","IMPC_ABR_042_001"
29250,"Anesthetic agent 1 dosage","anesthetic_agent_1_dosage","IMPC_ABR_044_001"
29249,"Anesthetic agent 2","anesthetic_agent_2","IMPC_ABR_043_001"
29251,"Anesthetic agent 2 dosage","anesthetic_agent_2_dosage","IMPC_ABR_045_001"
74120,"Animal Status",NA,"IMPC_WEL_005_001"
91504,"Annotation Software",NA,"IMPC_FOR_016_001"
73222,"Annotator ID",NA,"IMPC_EMA_149_001"
52447,"Annotator ID","annotator_id","IMPC_EMO_178_001"
44555,"Anophthalmia","anophthalmia","IMPC_GEO_048_002"
37415,"Anticoagulant","anticoagulant","IMPC_CBC_038_001"
73173,"Aorta",NA,"IMPC_EMA_100_001"
27594,"Aorta","aorta","IMPC_ALZ_027_001"
28689,"Aortic diameter (Dao)",NA,"IMPC_ECH_016_001"
72192,"Aortic sac",NA,"IMPC_EOL_031_001"
73174,"Aortic valve",NA,"IMPC_EMA_101_001"
52292,"Arch of aorta","arch_of_aorta","IMPC_EMO_023_001"
18312,"Area under glucose response curve",NA,"IMPC_IPG_012_001"
52103,"Arena ID","arena_id","IMPC_LDT_020_001"
91500,"Arena Manufacturer",NA,"IMPC_FOR_012_001"
16419,"Arena Material","arena_material","IMPC_OFD_040_001"
16413,"Arena Size","arena_size","IMPC_OFD_034_001"
52104,"Arena version","arena_version","IMPC_LDT_021_001"
52064,"Arm dimensions","arm_dimensions","IMPC_YMZ_012_001"
73156,"Arytenoid cartilage",NA,"IMPC_EMA_083_001"
37389,"Aspartate aminotransferase","aspartate_aminotransferase","IMPC_CBC_012_001"
72194,"Atrioventricular canal",NA,"IMPC_EOL_033_001"
32679,"Atrium",NA,"IMPC_ELZ_037_001"
29221,"Audiograms","audiograms","IMPC_ABR_015_001"
68001,"Automated analysis",NA,"IMPC_IMM_109_002"
34656,"Automated analysis",NA,"IMPC_IMM_109_001"
30964,"Available space for mouse","(L cm) x  (W cm) x  (H cm)","IMPC_CAL_030_001"
36703,"Average Litter Size",NA,"IMPC_EVP_016_001"
31393,"Average litter size",NA,"IMPC_VIA_017_001"
32698,"Axial skeleton",NA,"IMPC_ELZ_056_001"
34608,"B Cells",NA,"IMPC_IMM_063_001"
67963,"B cells - % of live leukocytes (Panel B)",NA,"IMPC_IMM_063_002"
68114,"B cells - cell count",NA,"IMPC_IMM_222_001"
46653,"B-scan of left cornea and lens",NA,"IMPC_EYE_077_001"
46649,"B-scan of left retina",NA,"IMPC_EYE_073_001"
46652,"B-scan of right cornea and lens",NA,"IMPC_EYE_076_001"
46648,"B-scan of right retina",NA,"IMPC_EYE_072_001"
34609,"B1B Cells",NA,"IMPC_IMM_064_001"
68056,"B1a cells  - % of B cells (Panel B)",NA,"IMPC_IMM_164_001"
68115,"B1a cells - cell count",NA,"IMPC_IMM_223_001"
68057,"B1b cells  - % of B cells (Panel B)",NA,"IMPC_IMM_165_001"
68116,"B1b cells - cell count",NA,"IMPC_IMM_224_001"
34610,"B2B Cells",NA,"IMPC_IMM_065_001"
18994,"BMC/Body weight","bmc_body_weight","IMPC_DXA_007_001"
17736,"Background noise","background_noise","IMPC_ACS_016_001"
36979,"Balance manufacturer",NA,"IMPC_PAT_033_001"
36980,"Balance model",NA,"IMPC_PAT_034_001"
67990,"Balanced salt solution catalog number",NA,"IMPC_IMM_098_002"
67989,"Balanced salt solution manufacturer",NA,"IMPC_IMM_097_002"
34644,"Balanced salt solution manufacturer",NA,"IMPC_IMM_097_001"
67988,"Balanced salt solution type",NA,"IMPC_IMM_096_002"
34643,"Balanced salt solution type",NA,"IMPC_IMM_096_001"
29809,"Basophil cell count","A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities both of which are signs of a potential problem.","IMPC_HEM_037_001"
29810,"Basophil differential count","A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities both of which are signs of a potential problem.","IMPC_HEM_038_001"
30968,"Beam strip placement on exterior of chamber",NA,"IMPC_CAL_034_001"
44813,"Behavior/neurological","behavior_neurological","IMPC_GEP_003_001"
27660,"Bit Depth","bit_depth","IMPC_ALZ_093_001"
32722,"Bit depth",NA,"IMPC_ELZ_081_001"
73212,"Bladder",NA,"IMPC_EMA_139_001"
52295,"Bladder","bladder","IMPC_EMO_026_001"
45472,"Blebs","blebs","IMPC_GEM_026_002"
45866,"Blebs",NA,"IMPC_GEO_070_001"
39010,"Blinding  - ABR annotation","blinding_abr_annotation","IMPC_EXD_023_001"
39009,"Blinding  - ABR collection","blinding_abr_collection","IMPC_EXD_022_001"
39006,"Blinding  - Acoustic startle","blinding_acoustic_startle","IMPC_EXD_019_001"
39031,"Blinding  - Adult Lac Z annotation","blinding_adult_lac_z_annotation","IMPC_EXD_044_001"
39030,"Blinding  - Adult Lac Z collection","blinding_adult_lac_z_collection","IMPC_EXD_043_001"
39003,"Blinding  - Body Weight","blinding_body_weight","IMPC_EXD_016_001"
39004,"Blinding  - CSD","blinding_csd","IMPC_EXD_017_001"
39007,"Blinding  - Calorimetry","blinding_calorimetry","IMPC_EXD_020_001"
39019,"Blinding  - Clinical chemistry","blinding_clinical_chemistry","IMPC_EXD_032_001"
39011,"Blinding  - DEXA","blinding_dexa","IMPC_EXD_024_001"
39028,"Blinding  - Echo","blinding_echo","IMPC_EXD_041_001"
39033,"Blinding  - Embryo Lac Z annotation","blinding_embryo_lac_z_annotation","IMPC_EXD_046_001"
39032,"Blinding  - Embryo Lac Z collection","blinding_embryo_lac_z_collection","IMPC_EXD_045_001"
39005,"Blinding  - Grip strength","blinding_grip_strength","IMPC_EXD_018_001"
39026,"Blinding  - Gross pathology annotation","blinding_gross_pathology_annotation","IMPC_EXD_039_001"
39025,"Blinding  - Gross pathology collection","blinding_gross_pathology_collection","IMPC_EXD_038_001"
39023,"Blinding  - Heart weight","blinding_heart_weight","IMPC_EXD_036_001"
39018,"Blinding  - Hematology","blinding_hematology","IMPC_EXD_031_001"
39008,"Blinding  - IPGTT","blinding_ipgtt","IMPC_EXD_021_001"
39022,"Blinding  - Immunophenotyping annotation","blinding_immunophenotyping_annotation","IMPC_EXD_035_001"
39021,"Blinding  - Immunophenotyping collection","blinding_immunophenotyping_collection","IMPC_EXD_034_001"
39020,"Blinding  - Insulin","blinding_insulin","IMPC_EXD_033_001"
39024,"Blinding  - Open field","blinding_open_field","IMPC_EXD_037_001"
39017,"Blinding  - Ophthalmoscope annotation","blinding_ophthalmoscope_annotation","IMPC_EXD_030_001"
39016,"Blinding  - Ophthalmoscope collection","blinding_ophthalmoscope_collection","IMPC_EXD_029_001"
39029,"Blinding  - Plethysmography","blinding_plethysmography","IMPC_EXD_042_001"
39015,"Blinding  - Slit lamp annotation","blinding_slit_lamp_annotation","IMPC_EXD_028_001"
39014,"Blinding  - Slit lamp collection","blinding_slit_lamp_collection","IMPC_EXD_027_001"
39013,"Blinding  - X-ray annotation","blinding_x_ray_annotation","IMPC_EXD_026_001"
39012,"Blinding  - X-ray imaging","blinding_x_ray_imaging","IMPC_EXD_025_001"
39027,"Blinding - ECG","blinding_ecg","IMPC_EXD_040_001"
90944,"Blinding strategy","blinding_strategy","IMPC_EXD_127_001"
33598,"Block descriptor",NA,"IMPC_HOU_067_001"
27621,"Blood","blood_smear","IMPC_ALZ_054_001"
44503,"Blood Vessel Morphology","blood_vessel_morphology","IMPC_GEO_011_001"
37427,"Blood analysis experimenter ID",NA,"IMPC_CBC_051_001"
37901,"Blood analysis experimenter ID","blood_analysis_experimenter_id","IMPC_INS_021_001"
37422,"Blood collection experimenter ID",NA,"IMPC_CBC_049_001"
37900,"Blood collection experimenter ID","blood_collection_experimenter_id","IMPC_INS_020_001"
37424,"Blood collection tubes",NA,"IMPC_CBC_039_001"
37889,"Blood collection tubes","blood_collection_tubes","IMPC_INS_008_001"
18302,"Blood glucose concentration","blood_glucose_concentration","IMPC_IPG_002_001"
28687,"Body Temp",NA,"IMPC_ECH_014_001"
36966,"Body Weight","body_weight","IMPC_PAT_049_002"
18993,"Body length","body_length","IMPC_DXA_006_001"
44510,"Body wall morphology","body_wall_morphology","IMPC_GEO_020_001"
18421,"Body weight",NA,"IMPC_CHL_001_001"
17589,"Body weight","body_weight","IMPC_GRS_003_001"
18101,"Body weight after experiment","body_weight_after_experiment","IMPC_CAL_002_001"
18100,"Body weight before experiment","body_weight_before_experiment","IMPC_CAL_001_001"
27192,"Body weight curve","Derivation to collect all body weights measured (when available) and plot them correctly as time series.","IMPC_BWT_008_001"
27610,"Bone","bone","IMPC_ALZ_043_001"
36996,"Bone",NA,"IMPC_PAT_075_001"
27617,"Bone  Marrow","bone_marrow","IMPC_ALZ_050_001"
48285,"Bone - Description",NA,"IMPC_HIS_347_001"
75516,"Bone - Descriptor PATO",NA,"IMPC_HIS_346_001"
48284,"Bone - Descriptor PATO",NA,"IMPC_HIS_346_001"
48281,"Bone - Free text diagnostic term",NA,"IMPC_HIS_343_001"
75517,"Bone - MA term",NA,"IMPC_HIS_351_001"
48280,"Bone - MPATH diagnostic term",NA,"IMPC_HIS_342_001"
75518,"Bone - MPATH pathological entity term",NA,"IMPC_HIS_342_002"
75519,"Bone - MPATH pathological process term",NA,"IMPC_HIS_344_002"
48282,"Bone - MPATH process term",NA,"IMPC_HIS_344_001"
48283,"Bone - Severity score",NA,"IMPC_HIS_345_001"
48286,"Bone - Significance score",NA,"IMPC_HIS_348_001"
18997,"Bone Area","bone_area_bmc_bmd_","IMPC_DXA_010_001"
18992,"Bone Mineral Content (excluding skull)","bone_mineral_content_excluding_skull_","IMPC_DXA_005_001"
18991,"Bone Mineral Density (excluding skull)","bone_mineral_density_excluding_skull_","IMPC_DXA_004_001"
36986,"Bone marrow",NA,"IMPC_PAT_065_001"
48173,"Bone marrow - Description",NA,"IMPC_HIS_235_001"
75520,"Bone marrow - Descriptor PATO",NA,"IMPC_HIS_234_001"
48172,"Bone marrow - Descriptor PATO",NA,"IMPC_HIS_234_001"
48169,"Bone marrow - Free text diagnostic term",NA,"IMPC_HIS_231_001"
75521,"Bone marrow - MA term",NA,"IMPC_HIS_352_001"
48168,"Bone marrow - MPATH diagnostic term",NA,"IMPC_HIS_230_001"
75522,"Bone marrow - MPATH pathological entity term",NA,"IMPC_HIS_230_002"
75523,"Bone marrow - MPATH pathological process term",NA,"IMPC_HIS_232_002"
48170,"Bone marrow - MPATH process term",NA,"IMPC_HIS_232_001"
48171,"Bone marrow - Severity score",NA,"IMPC_HIS_233_001"
48174,"Bone marrow - Significance score",NA,"IMPC_HIS_236_001"
19265,"Brachydactyly","completeness_of_digits","IMPC_XRY_030_001"
32684,"Brain",NA,"IMPC_ELZ_042_001"
27570,"Brain","brain","IMPC_ALZ_003_001"
48238,"Brain",NA,"IMPC_HIS_300_001"
47973,"Brain - Description",NA,"IMPC_HIS_006_001"
75524,"Brain - Descriptor PATO",NA,"IMPC_HIS_005_001"
47972,"Brain - Descriptor PATO",NA,"IMPC_HIS_005_001"
47969,"Brain - Free text diagnostic term",NA,"IMPC_HIS_002_001"
75525,"Brain - MA term",NA,"IMPC_HIS_353_001"
47968,"Brain - MPATH diagnostic term",NA,"IMPC_HIS_001_001"
75526,"Brain - MPATH pathological entity term",NA,"IMPC_HIS_001_002"
75527,"Brain - MPATH pathological process term",NA,"IMPC_HIS_003_002"
47970,"Brain - MPATH process term",NA,"IMPC_HIS_003_001"
47971,"Brain - Severity score",NA,"IMPC_HIS_004_001"
48288,"Brain - Significance score",NA,"IMPC_HIS_179_002"
44526,"Brain Development","brain_development","IMPC_GEO_040_001"
27598,"Brainstem","brainstem","IMPC_ALZ_031_001"
41931,"Branchial arch morphology","branchial_arch_morphology","IMPC_GEL_024_001"
31407,"Breeding Strategy",NA,"IMPC_VIA_031_001"
73183,"Bronchus",NA,"IMPC_EMA_110_001"
52296,"Bronchus","bronchus","IMPC_EMO_027_001"
27619,"Brown adipose tissue","adipose_brown","IMPC_ALZ_052_001"
48271,"Brown adipose tissue",NA,"IMPC_HIS_333_001"
48180,"Brown adipose tissue - Description",NA,"IMPC_HIS_242_001"
75528,"Brown adipose tissue - Descriptor PATO",NA,"IMPC_HIS_241_001"
48179,"Brown adipose tissue - Descriptor PATO",NA,"IMPC_HIS_241_001"
48176,"Brown adipose tissue - Free text diagnostic term",NA,"IMPC_HIS_238_001"
75529,"Brown adipose tissue - MA term",NA,"IMPC_HIS_354_001"
48175,"Brown adipose tissue - MPATH diagnostic term",NA,"IMPC_HIS_237_001"
75530,"Brown adipose tissue - MPATH pathological entity term",NA,"IMPC_HIS_237_002"
75531,"Brown adipose tissue - MPATH pathological process term",NA,"IMPC_HIS_239_002"
48177,"Brown adipose tissue - MPATH process term",NA,"IMPC_HIS_239_001"
48178,"Brown adipose tissue - Severity score",NA,"IMPC_HIS_240_001"
48181,"Brown adipose tissue - Significance score",NA,"IMPC_HIS_243_001"
73149,"Brown fat",NA,"IMPC_EMA_076_001"
52297,"Brown fat","brown_fat","IMPC_EMO_028_001"
36987,"Brown fat",NA,"IMPC_PAT_066_001"
46581,"Bulging eye","bulging_eye","IMPC_EYE_002_001"
37409,"C-reactive protein","c_reactive_protein","IMPC_CBC_032_001"
68064,"CD11b+ NK cells - % of NK cells (Panel B)",NA,"IMPC_IMM_172_001"
67959,"CD11b+ NK cells - % of live leukocytes (Panel B)",NA,"IMPC_IMM_057_002"
68112,"CD11b+ NK cells - cell count",NA,"IMPC_IMM_220_001"
68063,"CD11b- NK cells - % of NK cells (Panel B)",NA,"IMPC_IMM_171_001"
67958,"CD11b- NK cells - % of live leukocytes (Panel B)",NA,"IMPC_IMM_056_002"
68110,"CD11b- NK cells - cell count",NA,"IMPC_IMM_218_001"
68058,"CD11b-high cDC - % of conventional DC (Panel B)",NA,"IMPC_IMM_166_001"
68124,"CD11b-high cDC - cell count",NA,"IMPC_IMM_232_001"
68059,"CD11b-low cDC - % of conventional DC (Panel B)",NA,"IMPC_IMM_167_001"
68123,"CD11b-low cDC - cell count",NA,"IMPC_IMM_231_001"
68065,"CD161+ B cells - % of B cells",NA,"IMPC_IMM_173_001"
68060,"CD161+ B cells - % of live leukocytes (Panel B)",NA,"IMPC_IMM_168_001"
68121,"CD161+ B cells - cell count",NA,"IMPC_IMM_229_001"
34567,"CD4 CD25+ NKT cells",NA,"IMPC_IMM_020_001"
34561,"CD4 CD25+ T cells",NA,"IMPC_IMM_014_001"
34568,"CD4 CD25- NKT cells",NA,"IMPC_IMM_021_001"
34562,"CD4 CD25- T cells",NA,"IMPC_IMM_015_001"
34586,"CD4 CD44+CD62L+ NKT cells",NA,"IMPC_IMM_041_001"
34574,"CD4 CD44+CD62L+ T cells",NA,"IMPC_IMM_029_001"
34585,"CD4 CD44+CD62L- NKT cells",NA,"IMPC_IMM_040_001"
34573,"CD4 CD44+CD62L- T cells",NA,"IMPC_IMM_028_001"
34587,"CD4 CD44-CD62L+ NKT cells",NA,"IMPC_IMM_042_001"
34575,"CD4 CD44-CD62L+ T cells",NA,"IMPC_IMM_030_001"
34576,"CD4 CD44-CD62L- T cells",NA,"IMPC_IMM_031_001"
34558,"CD4 NKT cells",NA,"IMPC_IMM_011_001"
34554,"CD4 T cells",NA,"IMPC_IMM_007_001"
67934,"CD4 T cells - % of live leukocytes (Panel A)",NA,"IMPC_IMM_007_002"
68080,"CD4 T cells - cell count",NA,"IMPC_IMM_188_001"
68027,"CD4+ NKT cells - % of NKT cells (Panel A)",NA,"IMPC_IMM_135_001"
67936,"CD4+ NKT cells - % of live leukocytes (Panel A)",NA,"IMPC_IMM_011_002"
68094,"CD4+ NKT cells - cell count",NA,"IMPC_IMM_202_001"
68028,"CD4+ T cells - % of T cells",NA,"IMPC_IMM_136_001"
68029,"CD4+ T helper cells - % of CD4 T cells",NA,"IMPC_IMM_137_001"
67939,"CD4+ T helper cells - % of live leukocytes (Panel A)",NA,"IMPC_IMM_015_002"
68081,"CD4+ T helper cells - cell count",NA,"IMPC_IMM_189_001"
68026,"CD4- NKT cells - % of NKT cells (Panel A)",NA,"IMPC_IMM_134_001"
67937,"CD4- NKT cells - % of live leukocytes (Panel A)",NA,"IMPC_IMM_013_002"
68098,"CD4- NKT cells - cell count",NA,"IMPC_IMM_206_001"
34569,"CD8 CD25+ NKT cells",NA,"IMPC_IMM_022_001"
34563,"CD8 CD25+ T cells",NA,"IMPC_IMM_016_001"
34570,"CD8 CD25- NKT cells",NA,"IMPC_IMM_023_001"
34564,"CD8 CD25- T cells",NA,"IMPC_IMM_017_001"
34589,"CD8 CD44+CD62L+ NKT cells",NA,"IMPC_IMM_044_001"
34578,"CD8 CD44+CD62L+ T cells",NA,"IMPC_IMM_033_001"
34588,"CD8 CD44+CD62L- NKT cells",NA,"IMPC_IMM_043_001"
34577,"CD8 CD44+CD62L- T cells",NA,"IMPC_IMM_032_001"
34590,"CD8 CD44-CD62L+ NKT cells",NA,"IMPC_IMM_045_001"
34579,"CD8 CD44-CD62L+ T cells",NA,"IMPC_IMM_034_001"
34580,"CD8 CD44-CD62L- T cells",NA,"IMPC_IMM_035_001"
34559,"CD8 NKT cells",NA,"IMPC_IMM_012_001"
34555,"CD8 T cells",NA,"IMPC_IMM_008_001"
68030,"CD8+ T cells - % of T cells",NA,"IMPC_IMM_138_001"
67935,"CD8+ T cells - % of live leukocytes (Panel A)",NA,"IMPC_IMM_008_002"
68075,"CD8+ T cells - cell count",NA,"IMPC_IMM_183_001"
45490,"CRL",NA,"IMPC_GEM_074_001"
67972,"CS&T Bead lot",NA,"IMPC_IMM_080_002"
89739,"CV",NA,"IMPC_ECG_003_001"
37386,"Calcium","calcium","IMPC_CBC_009_001"
30974,"Calibration method",NA,"IMPC_CAL_040_001"
91506,"Camera Position",NA,"IMPC_FOR_018_001"
36981,"Camera resolution",NA,"IMPC_PAT_035_001"
67252,"Camera to Source",NA,"IMPC_EML_010_001"
73089,"Camera to Source",NA,"IMPC_EMA_016_001"
18103,"Carbon dioxide production","carbon_dioxide_production","IMPC_CAL_004_001"
28679,"Cardiac Output",NA,"IMPC_ECH_006_001"
44499,"Cardiovascular Development","cardiovascular_development","IMPC_GEO_004_001"
44498,"Cardiovascular System","cardiovascular_system","IMPC_GEO_003_001"
73159,"Carotid artery",NA,"IMPC_EMA_086_001"
52299,"Carotid artery","carotid_artery","IMPC_EMO_030_001"
27599,"Cartilage tissue","cartilage","IMPC_ALZ_032_001"
72202,"Caudal neuropore",NA,"IMPC_EOL_041_001"
19302,"Caudal processes",NA,"IMPC_XRY_067_001"
57180,"Caudal vertebrae morphology","caudal_vertebrae_morphology","IMPC_XRY_074_001"
27611,"Cecum","cecum","IMPC_ALZ_044_001"
34631,"Cell counting",NA,"IMPC_IMM_086_001"
67979,"Cell counting equipment manufacturer",NA,"IMPC_IMM_087_002"
67980,"Cell counting equipment model",NA,"IMPC_IMM_088_002"
67981,"Cell counting equipment name",NA,"IMPC_IMM_089_002"
67978,"Cell counting performed",NA,"IMPC_IMM_086_002"
67974,"Cell digestion",NA,"IMPC_IMM_082_002"
67975,"Cell digestion agent",NA,"IMPC_IMM_083_002"
67977,"Cell digestion agent catalog number",NA,"IMPC_IMM_085_002"
67976,"Cell digestion agent manufacturer",NA,"IMPC_IMM_084_002"
67998,"Cell digestion temperature (in Celsius)",NA,"IMPC_IMM_106_002"
34653,"Cell digestion temperature (in Celsius)",NA,"IMPC_IMM_106_001"
67983,"Cell lysis buffer catalog number",NA,"IMPC_IMM_091_002"
34636,"Cell lysis buffer catalog number",NA,"IMPC_IMM_091_001"
67982,"Cell lysis buffer manufacturer",NA,"IMPC_IMM_090_002"
34635,"Cell lysis buffer manufacturer",NA,"IMPC_IMM_090_001"
16396,"Center average speed","center_average_speed","IMPC_OFD_017_001"
16430,"Center average speed series",NA,"IMPC_OFD_047_001"
16393,"Center distance travelled","center_distance_travelled","IMPC_OFD_014_001"
16427,"Center distance travelled series",NA,"IMPC_OFD_044_001"
16395,"Center permanence time","center_permanence_time","IMPC_OFD_016_001"
16429,"Center permanence time series",NA,"IMPC_OFD_046_001"
16394,"Center resting time","center_resting_time","IMPC_OFD_015_001"
16428,"Center resting time series",NA,"IMPC_OFD_045_001"
32687,"Central nervous system ganglion",NA,"IMPC_ELZ_045_001"
16405,"Central zone surface area","central_zone_surface_area","IMPC_OFD_026_001"
52300,"Cerbral aqueduct","cerbral_aqueduct","IMPC_EMO_031_001"
73104,"Cerebellum",NA,"IMPC_EMA_031_001"
27601,"Cerebellum","cerebellum","IMPC_ALZ_034_001"
27600,"Cerebral Cortex","cerebral_cortex","IMPC_ALZ_033_001"
