"impcParameterOrigId","name","description","parameterId"
37390," Alanine aminotransferase"," alanine_aminotransferase"," IMPC_CBC_013_001"
37384," Albumin"," albumin"," IMPC_CBC_007_001"
44496," Alive"," alive"," IMPC_GEO_001_001"
37391," Alkaline phosphatase"," alkaline_phosphatase"," IMPC_CBC_014_001"
41921," Allantois Morphology"," allantois_morphology"," IMPC_GEL_014_001"
37400," Alpha-amylase"," alpha_amylase"," IMPC_CBC_023_001"
52059," Alternate arm entry ratio per number of triplets"," alternate_arm_entry_ratio"," IMPC_YMZ_007_001"
52057," Alternation ratio per number of triplets"," alternation_ratio"," IMPC_YMZ_005_001"
18105," Ambulatory activity  (no. of beam cuts)"," ambulatory_activity_no_of_beam_cuts_"," IMPC_CAL_006_001"
19002," Anesthesia"," anesthesia"," IMPC_DXA_015_001"
37413," Anesthesia used for blood collection"," anesthesia_used_for_blood_collection"," IMPC_CBC_036_001"
29252," Anesthetic administration route"," anesthetic_administration_route"," IMPC_ABR_046_001"
29248," Anesthetic agent 1"," anesthetic_agent_1"," IMPC_ABR_042_001"
29250," Anesthetic agent 1 dosage"," anesthetic_agent_1_dosage"," IMPC_ABR_044_001"
29249," Anesthetic agent 2"," anesthetic_agent_2"," IMPC_ABR_043_001"
29251," Anesthetic agent 2 dosage"," anesthetic_agent_2_dosage"," IMPC_ABR_045_001"
44555," Anophthalmia"," anophthalmia"," IMPC_GEO_048_002"
37415," Anticoagulant"," anticoagulant"," IMPC_CBC_038_001"
27594," Aorta"," aorta"," IMPC_ALZ_027_001"
52103," Arena ID"," arena_id"," IMPC_LDT_020_001"
16419," Arena Material"," arena_material"," IMPC_OFD_040_001"
16413," Arena Size"," arena_size"," IMPC_OFD_034_001"
52104," Arena version"," arena_version"," IMPC_LDT_021_001"
52064," Arm dimensions"," arm_dimensions"," IMPC_YMZ_012_001"
37389," Aspartate aminotransferase"," aspartate_aminotransferase"," IMPC_CBC_012_001"
29221," Audiograms"," audiograms"," IMPC_ABR_015_001"
30964," Available space for mouse"," (L cm) x  (W cm) x  (H cm)"," IMPC_CAL_030_001"
18994," BMC/Body weight"," bmc_body_weight"," IMPC_DXA_007_001"
17736," Background noise"," background_noise"," IMPC_ACS_016_001"
29809," Basophil cell count"," A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities both of which are signs of a potential problem."," IMPC_HEM_037_001"
29810," Basophil differential count"," A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities both of which are signs of a potential problem."," IMPC_HEM_038_001"
44813," Behavior/neurological"," behavior_neurological"," IMPC_GEP_003_001"
27660," Bit Depth"," bit_depth"," IMPC_ALZ_093_001"
45472," Blebs"," blebs"," IMPC_GEM_026_002"
39010," Blinding  - ABR annotation"," blinding_abr_annotation"," IMPC_EXD_023_001"
39009," Blinding  - ABR collection"," blinding_abr_collection"," IMPC_EXD_022_001"
39006," Blinding  - Acoustic startle"," blinding_acoustic_startle"," IMPC_EXD_019_001"
39031," Blinding  - Adult Lac Z annotation"," blinding_adult_lac_z_annotation"," IMPC_EXD_044_001"
39030," Blinding  - Adult Lac Z collection"," blinding_adult_lac_z_collection"," IMPC_EXD_043_001"
39003," Blinding  - Body Weight"," blinding_body_weight"," IMPC_EXD_016_001"
39004," Blinding  - CSD"," blinding_csd"," IMPC_EXD_017_001"
39007," Blinding  - Calorimetry"," blinding_calorimetry"," IMPC_EXD_020_001"
39019," Blinding  - Clinical chemistry"," blinding_clinical_chemistry"," IMPC_EXD_032_001"
39011," Blinding  - DEXA"," blinding_dexa"," IMPC_EXD_024_001"
39028," Blinding  - Echo"," blinding_echo"," IMPC_EXD_041_001"
39033," Blinding  - Embryo Lac Z annotation"," blinding_embryo_lac_z_annotation"," IMPC_EXD_046_001"
39032," Blinding  - Embryo Lac Z collection"," blinding_embryo_lac_z_collection"," IMPC_EXD_045_001"
39005," Blinding  - Grip strength"," blinding_grip_strength"," IMPC_EXD_018_001"
39026," Blinding  - Gross pathology annotation"," blinding_gross_pathology_annotation"," IMPC_EXD_039_001"
39025," Blinding  - Gross pathology collection"," blinding_gross_pathology_collection"," IMPC_EXD_038_001"
39023," Blinding  - Heart weight"," blinding_heart_weight"," IMPC_EXD_036_001"
39018," Blinding  - Hematology"," blinding_hematology"," IMPC_EXD_031_001"
39008," Blinding  - IPGTT"," blinding_ipgtt"," IMPC_EXD_021_001"
39022," Blinding  - Immunophenotyping annotation"," blinding_immunophenotyping_annotation"," IMPC_EXD_035_001"
39021," Blinding  - Immunophenotyping collection"," blinding_immunophenotyping_collection"," IMPC_EXD_034_001"
39020," Blinding  - Insulin"," blinding_insulin"," IMPC_EXD_033_001"
39024," Blinding  - Open field"," blinding_open_field"," IMPC_EXD_037_001"
39017," Blinding  - Ophthalmoscope annotation"," blinding_ophthalmoscope_annotation"," IMPC_EXD_030_001"
39016," Blinding  - Ophthalmoscope collection"," blinding_ophthalmoscope_collection"," IMPC_EXD_029_001"
39029," Blinding  - Plethysmography"," blinding_plethysmography"," IMPC_EXD_042_001"
39015," Blinding  - Slit lamp annotation"," blinding_slit_lamp_annotation"," IMPC_EXD_028_001"
39014," Blinding  - Slit lamp collection"," blinding_slit_lamp_collection"," IMPC_EXD_027_001"
39013," Blinding  - X-ray annotation"," blinding_x_ray_annotation"," IMPC_EXD_026_001"
39012," Blinding  - X-ray imaging"," blinding_x_ray_imaging"," IMPC_EXD_025_001"
39027," Blinding - ECG"," blinding_ecg"," IMPC_EXD_040_001"
90944," Blinding strategy"," blinding_strategy"," IMPC_EXD_127_001"
27621," Blood"," blood_smear"," IMPC_ALZ_054_001"
44503," Blood Vessel Morphology"," blood_vessel_morphology"," IMPC_GEO_011_001"
37901," Blood analysis experimenter ID"," blood_analysis_experimenter_id"," IMPC_INS_021_001"
37900," Blood collection experimenter ID"," blood_collection_experimenter_id"," IMPC_INS_020_001"
37889," Blood collection tubes"," blood_collection_tubes"," IMPC_INS_008_001"
18302," Blood glucose concentration"," blood_glucose_concentration"," IMPC_IPG_002_001"
36966," Body Weight"," body_weight"," IMPC_PAT_049_002"
18993," Body length"," body_length"," IMPC_DXA_006_001"
44510," Body wall morphology"," body_wall_morphology"," IMPC_GEO_020_001"
17589," Body weight"," body_weight"," IMPC_GRS_003_001"
18101," Body weight after experiment"," body_weight_after_experiment"," IMPC_CAL_002_001"
18100," Body weight before experiment"," body_weight_before_experiment"," IMPC_CAL_001_001"
27192," Body weight curve"," Derivation to collect all body weights measured (when available) and plot them correctly as time series."," IMPC_BWT_008_001"
27610," Bone"," bone"," IMPC_ALZ_043_001"
27617," Bone  Marrow"," bone_marrow"," IMPC_ALZ_050_001"
18997," Bone Area"," bone_area_bmc_bmd_"," IMPC_DXA_010_001"
18992," Bone Mineral Content (excluding skull)"," bone_mineral_content_excluding_skull_"," IMPC_DXA_005_001"
18991," Bone Mineral Density (excluding skull)"," bone_mineral_density_excluding_skull_"," IMPC_DXA_004_001"
19265," Brachydactyly"," completeness_of_digits"," IMPC_XRY_030_001"
27570," Brain"," brain"," IMPC_ALZ_003_001"
44526," Brain Development"," brain_development"," IMPC_GEO_040_001"
27598," Brainstem"," brainstem"," IMPC_ALZ_031_001"
41931," Branchial arch morphology"," branchial_arch_morphology"," IMPC_GEL_024_001"
27619," Brown adipose tissue"," adipose_brown"," IMPC_ALZ_052_001"
46581," Bulging eye"," bulging_eye"," IMPC_EYE_002_001"
37409," C-reactive protein"," c_reactive_protein"," IMPC_CBC_032_001"
37386," Calcium"," calcium"," IMPC_CBC_009_001"
18103," Carbon dioxide production"," carbon_dioxide_production"," IMPC_CAL_004_001"
44499," Cardiovascular Development"," cardiovascular_development"," IMPC_GEO_004_001"
44498," Cardiovascular System"," cardiovascular_system"," IMPC_GEO_003_001"
27599," Cartilage tissue"," cartilage"," IMPC_ALZ_032_001"
57180," Caudal vertebrae morphology"," caudal_vertebrae_morphology"," IMPC_XRY_074_001"
27611," Cecum"," cecum"," IMPC_ALZ_044_001"
16396," Center average speed"," center_average_speed"," IMPC_OFD_017_001"
16393," Center distance travelled"," center_distance_travelled"," IMPC_OFD_014_001"
16395," Center permanence time"," center_permanence_time"," IMPC_OFD_016_001"
16394," Center resting time"," center_resting_time"," IMPC_OFD_015_001"
16405," Central zone surface area"," central_zone_surface_area"," IMPC_OFD_026_001"
27601," Cerebellum"," cerebellum"," IMPC_ALZ_034_001"
27600," Cerebral Cortex"," cerebral_cortex"," IMPC_ALZ_033_001"
57176," Cervical vertebrae morphology"," cervical_vertebrae_morphology"," IMPC_XRY_070_001"
27631," Chest bone"," ribcage"," IMPC_ALZ_064_001"
29791," Chip card number"," chip_card_number"," IMPC_HEM_023_001"
37380," Chloride"," chloride"," IMPC_CBC_003_001"
37434," Cholesterol ratio"," TC/HDLC ratio"," IMPC_CBC_058_001"
41926," Chorioallantoic fusion"," chorioallantoic_fusion"," IMPC_GEL_019_001"
19242," Clavicle"," clavicle"," IMPC_XRY_007_001"
52068," Cleaning agent/disinfectant"," cleaning_agent_disinfectant"," IMPC_YMZ_016_001"
44546," Cleft Palate"," cleft_palate"," IMPC_GEO_018_002"
29223," Click +20dB waveforms (numerical format)"," click_20db_waveforms_numerical_format_"," IMPC_ABR_017_001"
29225," Click +20dB+50dB waveforms (pdf format)"," click_20db_50db_waveforms_pdf_format_"," IMPC_ABR_019_001"
29224," Click +50dB waveforms (numerical format)"," click_50db_waveforms_numerical_format_"," IMPC_ABR_018_001"
29220," Click-evoked + 6 to 30kHz tone waveforms (pdf format)"," click_evoked_6_to_30khz_tone_waveforms_pdf_format_"," IMPC_ABR_014_001"
29208," Click-evoked ABR threshold"," click_evoked_abr_threshold"," IMPC_ABR_002_001"
29209," Click-evoked ABR waveforms (numerical format)"," click_evoked_abr_waveforms_numerical_format_"," IMPC_ABR_003_001"
38105," Coat - color - abdomen"," coat_color_abdomen"," IMPC_CSD_007_001"
38103," Coat - color - back"," coat_color_back"," IMPC_CSD_005_001"
38104," Coat - color - head"," coat_color_head"," IMPC_CSD_006_001"
38108," Coat - color pattern - abdomen"," coat_color_pattern_abdomen"," IMPC_CSD_010_001"
38106," Coat - color pattern - back"," coat_color_pattern_back"," IMPC_CSD_008_001"
38107," Coat - color pattern - head"," coat_color_pattern_head"," IMPC_CSD_009_001"
38111," Coat - hair distribution - abdomen"," coat_hair_distribution_abdomen"," IMPC_CSD_013_001"
38109," Coat - hair distribution - back"," coat_hair_distribution_back"," IMPC_CSD_011_001"
38110," Coat - hair distribution - head"," coat_hair_distribution_head"," IMPC_CSD_012_001"
38114," Coat - hair texture / appearance - abdomen"," coat_hair_texture_appearance_abdomen"," IMPC_CSD_016_001"
38112," Coat - hair texture / appearance - back"," coat_hair_texture_appearance_back"," IMPC_CSD_014_001"
38113," Coat - hair texture / appearance - head"," coat_hair_texture_appearance_head"," IMPC_CSD_015_001"
27612," Colon"," colon"," IMPC_ALZ_045_001"
16408," Color of arena"," color_of_arena"," IMPC_OFD_029_001"
27661," Colorspace"," colorspace"," IMPC_ALZ_094_001"
19267," Comment on XRay image"," comment_on_xray_image"," IMPC_XRY_032_001"
44530," Comment on image"," comment_on_image"," IMPC_GEO_049_001"
36968," Comments (in English)"," General comments in English"," IMPC_PAT_032_002"
51547," Conditioning Baseline % Freezing Time"," conditioning_baseline_freezing_time"," IMPC_FEA_003_001"
51548," Conditioning Baseline Average Motion Index"," conditioning_baseline_average_motion_index"," IMPC_FEA_004_001"
51545," Conditioning Baseline Freeze Count"," conditioning_baseline_freeze_count"," IMPC_FEA_001_001"
51546," Conditioning Baseline Freezing Time"," conditioning_baseline_freezing_time"," IMPC_FEA_002_001"
51550," Conditioning Baseline Maximum Motion Index"," conditioning_baseline_maximum_motion_index"," IMPC_FEA_006_001"
51549," Conditioning Baseline Minimum Motion Index"," conditioning_baseline_minimum_motion_index"," IMPC_FEA_005_001"
51644," Conditioning Post-shock % Freezing Time"," conditioning_post_shock_freezing_time"," IMPC_FEA_100_001"
51645," Conditioning Post-shock Average Motion Index"," conditioning_post_shock_average_motion_index"," IMPC_FEA_101_001"
51642," Conditioning Post-shock Freeze Count"," conditioning_post_shock_freeze_count"," IMPC_FEA_098_001"
51643," Conditioning Post-shock Freezing Time"," conditioning_post_shock_freezing_time"," IMPC_FEA_099_001"
51647," Conditioning Post-shock Maximum Motion Index"," conditioning_post_shock_maximum_motion_index"," IMPC_FEA_103_001"
51646," Conditioning Post-shock Minimum Motion Index"," conditioning_post_shock_minimum_motion_index"," IMPC_FEA_102_001"
51639," Conditioning Shock Average Motion Index"," conditioning_shock_average_motion_index"," IMPC_FEA_095_001"
51641," Conditioning Shock Maximum Motion Index"," conditioning_shock_maximum_motion_index"," IMPC_FEA_097_001"
51640," Conditioning Shock Minimum Motion Index"," conditioning_shock_minimum_motion_index"," IMPC_FEA_096_001"
51635," Conditioning Tone % Freezing Time"," conditioning_tone_freezing_time"," IMPC_FEA_091_001"
51636," Conditioning Tone Average Motion Index"," conditioning_tone_average_motion_index"," IMPC_FEA_092_001"
51633," Conditioning Tone Freeze Count"," conditioning_tone_freeze_count"," IMPC_FEA_089_001"
51634," Conditioning Tone Freezing Time"," conditioning_tone_freezing_time"," IMPC_FEA_090_001"
51638," Conditioning Tone Maximum Motion Index"," conditioning_tone_maximum_motion_index"," IMPC_FEA_094_001"
51637," Conditioning Tone Minimum Motion Index"," conditioning_tone_minimum_motion_index"," IMPC_FEA_093_001"
51569," Conditioning: Date and time"," conditioning_date_and_time"," IMPC_FEA_025_001"
51577," Conditioning: Length of time baseline"," conditioning_length_of_time_baseline"," IMPC_FEA_033_001"
51583," Conditioning: Length of time no stimulus"," conditioning_length_of_time_no_stimulus"," IMPC_FEA_039_001"
51582," Conditioning: Length of time shock stimulus"," conditioning_length_of_time_shock_stimulus"," IMPC_FEA_038_001"
51580," Conditioning: Length of time tone stimulus"," conditioning_length_of_time_tone_stimulus"," IMPC_FEA_036_001"
51575," Conditioning: Mouse arena colour"," conditioning_mouse_arena_colour"," IMPC_FEA_031_001"
51574," Conditioning: Mouse arena dimension"," conditioning_mouse_arena_dimension"," IMPC_FEA_030_001"
51576," Conditioning: Mouse arena floor"," conditioning_mouse_arena_floor"," IMPC_FEA_032_001"
51573," Conditioning: Mouse arena shape"," conditioning_mouse_arena_shape"," IMPC_FEA_029_001"
51622," Conditioning: Near infra red light  arena"," conditioning_near_infra_red_light_arena"," IMPC_FEA_078_001"
51572," Conditioning: Olfactory cue"," conditioning_olfactory_cue"," IMPC_FEA_028_001"
51570," Conditioning: Room acclimation time"," conditioning_room_acclimation_time"," IMPC_FEA_026_001"
51581," Conditioning: Shock stimulus intensity (unconditioned stimulus)"," conditioning_shock_stimulus_intensity_unconditioned_stimulus"," IMPC_FEA_037_001"
51625," Conditioning: Start time of baseline"," conditioning_start_time_of_baseline"," IMPC_FEA_081_001"
51627," Conditioning: Start time of each shock stimulus"," conditioning_start_time_of_each_shock_stimulus"," IMPC_FEA_083_001"
51626," Conditioning: Start time of each tone stimulus"," conditioning_start_time_of_each_tone_stimulus"," IMPC_FEA_082_001"
51628," Conditioning: Start time of no stimulus"," conditioning_start_time_of_no_stimulus"," IMPC_FEA_084_001"
51579," Conditioning: Tone stimulus frequency (Hz; conditioned stimulus)"," conditioning_tone_stimulus_frequency_hz_conditioned_stimulus"," IMPC_FEA_035_001"
51578," Conditioning: Tone stimulus intensity ( dB; conditioned stimulus)"," conditioning_tone_stimulus_intensity_db_conditioned_stimulus"," IMPC_FEA_034_001"
51584," Conditioning: Total time"," conditioning_total_time"," IMPC_FEA_040_001"
51571," Conditioning: White house light level in arena"," conditioning_white_house_light_level_in_arena"," IMPC_FEA_027_001"
38160," Contact righting"," contact_righting"," IMPC_CSD_077_001"
51553," Context % Freezing Time"," context_freezing_time"," IMPC_FEA_009_001"
51554," Context Average Motion Index"," context_average_motion_index"," IMPC_FEA_010_001"
51551," Context Freeze Count"," context_freeze_count"," IMPC_FEA_007_001"
51552," Context Freezing Time"," context_freezing_time"," IMPC_FEA_008_001"
51556," Context Maximum Motion Index"," context_maximum_motion_index"," IMPC_FEA_012_001"
51555," Context Minimum Motion Index"," context_minimum_motion_index"," IMPC_FEA_011_001"
51585," Context: Date and time"," context_date_and_time"," IMPC_FEA_041_001"
51591," Context: Mouse arena colour"," context_mouse_arena_colour"," IMPC_FEA_047_001"
51590," Context: Mouse arena dimension"," context_mouse_arena_dimension"," IMPC_FEA_046_001"
51592," Context: Mouse arena floor"," context_mouse_arena_floor"," IMPC_FEA_048_001"
51589," Context: Mouse arena shape"," context_mouse_arena_shape"," IMPC_FEA_045_001"
51623," Context: Near infra red light  arena"," context_near_infra_red_light_arena"," IMPC_FEA_079_001"
51588," Context: Olfactory cue"," context_olfactory_cue"," IMPC_FEA_044_001"
51586," Context: Room acclimation time"," context_room_acclimation_time"," IMPC_FEA_042_001"
51593," Context: Total time"," context_total_time"," IMPC_FEA_049_001"
51587," Context: White house light level in arena"," context_white_house_light_level_in_arena"," IMPC_FEA_043_001"
90940," Control animal production location"," control_animal_source"," IMPC_EXD_012_002"
90936," Control design"," control_design"," IMPC_EXD_006_001"
90937," Control phenotyping design"," frequency_of_controls"," IMPC_EXD_007_001"
90942," Control stock management"," core_stock_strategy"," IMPC_EXD_014_001"
38998," Controls and knockout same source"," controls_and_knockout_same_source"," IMPC_EXD_011_001"
90941," Core colony source"," core_colony_source"," IMPC_EXD_013_001"
39001," Core stock strategy"," core_stock_strategy"," IMPC_EXD_014_001"
46586," Cornea"," cornea"," IMPC_EYE_007_001"
46587," Corneal opacity"," corneal_opacity"," IMPC_EYE_008_001"
46588," Corneal vascularization"," corneal_vascularization"," IMPC_EYE_009_001"
44505," Craniofacial"," craniofacial"," IMPC_GEO_013_001"
44506," Craniofacial Development"," craniofacial_development"," IMPC_GEO_014_001"
27633," Cranium"," skull"," IMPC_ALZ_066_001"
37405," Creatine kinase"," creatine_kinase"," IMPC_CBC_028_001"
37382," Creatinine"," creatinine_enzymatic_method_preferred_"," IMPC_CBC_005_001"
51559," Cue Baseline % Freezing Time"," cue_baseline_freezing_time"," IMPC_FEA_015_001"
51560," Cue Baseline Average Motion Index"," cue_baseline_average_motion_index"," IMPC_FEA_016_001"
51557," Cue Baseline Freeze Count"," cue_baseline_freeze_count"," IMPC_FEA_013_001"
51558," Cue Baseline Freezing Time"," cue_baseline_freezing_time"," IMPC_FEA_014_001"
51562," Cue Baseline Maximum Motion Index"," cue_baseline_maximum_motion_index"," IMPC_FEA_018_001"
51561," Cue Baseline Minimum Motion Index"," cue_baseline_minimum_motion_index"," IMPC_FEA_017_001"
51565," Cue Tone % Freezing Time"," cue_tone_freezing_time"," IMPC_FEA_021_001"
51566," Cue Tone Average Motion Index"," cue_tone_average_motion_index"," IMPC_FEA_022_001"
51563," Cue Tone Freeze Count"," cue_tone_freeze_count"," IMPC_FEA_019_001"
51564," Cue Tone Freezing Time"," cue_tone_freezing_time"," IMPC_FEA_020_001"
51568," Cue Tone Maximum Motion Index"," cue_tone_maximum_motion_index"," IMPC_FEA_024_001"
51567," Cue Tone Minimum Motion Index"," cue_tone_minimum_motion_index"," IMPC_FEA_023_001"
51594," Cue: Date and time"," cue_date_and_time"," IMPC_FEA_050_001"
51601," Cue: Length of time baseline"," cue_length_of_time_baseline"," IMPC_FEA_057_001"
51605," Cue: Length of time no stimulus"," cue_length_of_time_no_stimulus"," IMPC_FEA_061_001"
51599," Cue: Mouse arena colour"," cue_mouse_arena_colour"," IMPC_FEA_055_001"
51598," Cue: Mouse arena dimension"," cue_mouse_arena_dimension"," IMPC_FEA_054_001"
51600," Cue: Mouse arena floor"," cue_mouse_arena_floor"," IMPC_FEA_056_001"
51597," Cue: Mouse arena shape"," cue_mouse_arena_shape"," IMPC_FEA_053_001"
51624," Cue: Near infra red light  arena"," cue_near_infra_red_light_arena"," IMPC_FEA_080_001"
51596," Cue: Olfactory cue"," cue_olfactory_cue"," IMPC_FEA_052_001"
51629," Cue: Start time of baseline"," cue_start_time_of_baseline"," IMPC_FEA_085_001"
51630," Cue: Start time of each tone stimulus"," cue_start_time_of_each_tone_stimulus"," IMPC_FEA_086_001"
51631," Cue: Start time of no stimulus"," cue_start_time_of_no_stimulus"," IMPC_FEA_087_001"
51603," Cue: Tone stimulus frequency (Hz; conditioned stimulus)"," cue_tone_stimulus_frequency_hz_conditioned_stimulus"," IMPC_FEA_059_001"
51602," Cue: Tone stimulus intensity  (conditioned stimulus)"," cue_tone_stimulus_intensity_conditioned_stimulus"," IMPC_FEA_058_001"
51606," Cue: Total time"," cue_total_time"," IMPC_FEA_062_001"
51595," Cue: White house light level in arena"," cue_white_house_light_level_in_arena"," IMPC_FEA_051_001"
51632," Cue: arena rotation"," cue_arena_rotation"," IMPC_FEA_088_001"
18108," Cumulative food intake"," cumulative_food_intake"," IMPC_CAL_009_001"
44873," Cyanosis"," cyanosis"," IMPC_GEP_029_002"
52094," Dark side distance travelled"," dark_side_distance_travelled"," IMPC_LDT_011_001"
52087," Dark side time spent"," dark_side_time_spent"," IMPC_LDT_004_001"
27650," Date Microscope last calibrated"," date_microscope_last_calibrated"," IMPC_ALZ_083_001"
17733," Date and time"," date_and_time"," IMPC_ACS_012_001"
37420," Date and time of blood collection"," date_and_time_of_blood_collection"," IMPC_CBC_046_001"
89678," Date effective from"," date_effective_from"," IMPC_HOU_004_002"
89679," Date effective until"," date_effective_until"," IMPC_HOU_005_002"
44541," Date equipment last calibrated"," date_equipment_last_calibrated"," IMPC_GEO_060_001"
51619," Date equipment last calibrated (shock)"," date_equipment_last_calibrated_shock"," IMPC_FEA_075_001"
51620," Date equipment last calibrated (tone)"," date_equipment_last_calibrated_tone"," IMPC_FEA_076_001"
27668," Date of Perfusion"," date_of_perfusion"," IMPC_ALZ_101_001"
27667," Date of Sacrifice"," date_of_sacrifice"," IMPC_ALZ_100_001"
18593," Date of Test"," date_of_test"," IMPC_ABR_047_001"
27337," Date of matings"," date_of_matings"," IMPC_FER_018_001"
47827," Date of sacrifice"," date_of_sacrifice"," IMPC_OWT_015_001"
52079," Date tracking equipment last calibrated"," date_tracking_equipment_last_calibrated"," IMPC_YMZ_027_001"
27651," Detector equipment manufacturer"," detector_equipment_manufacturer"," IMPC_ALZ_084_001"
27652," Detector equipment model"," detector_equipment_model"," IMPC_ALZ_085_001"
41927," Developmental Patterning"," developmental_patterning"," IMPC_GEL_020_001"
44504," Developmental Vascular Remodelling"," developmental_vascular_remodelling"," IMPC_GEO_012_001"
27622," Diaphragm"," diaphragm"," IMPC_ALZ_055_001"
44843," Diaphragm Morphology"," diaphragm_morphology"," IMPC_GEP_044_001"
44825," Digestive System Morphology"," digestive_system_morphology"," IMPC_GEP_021_001"
44824," Digestive/alimentary"," digestive_alimentary"," IMPC_GEP_020_001"
19266," Digit integrity"," digit_integrity"," IMPC_XRY_031_001"
46619," Dilation Method"," dilation_method"," IMPC_EYE_043_001"
41929," Direction of heart looping"," direction_of_heart_looping"," IMPC_GEL_022_001"
52108," Disinfectant"," disinfectant"," IMPC_LDT_025_001"
16410," Distance from light source: if direct illumination"," distance_from_light_source_if_direct_illuminaton"," IMPC_OFD_031_001"
16384," Distance travelled"," distance_travelled"," IMPC_OFD_005_001"
16399," Distance travelled - total"," distance_travelled_total"," IMPC_OFD_020_001"
27613," Duodenum"," duodenum"," IMPC_ALZ_046_001"
52071," Duration at centre prior to arm re-entry"," duration_at_centre_prior_to_arm_re_entry"," IMPC_YMZ_019_001"
18112," Duration of test"," duration_of_test"," IMPC_CAL_013_001"
44513," Ear Development"," ear_development"," IMPC_GEO_023_001"
44512," Ear Morphology"," abnormal_ear_morphology"," IMPC_GEO_022_001"
38125," Ears"," ears"," IMPC_CSD_027_001"
44874," Edema"," edema"," IMPC_GEP_030_002"
22659," Embedding medium"," embedding_medium"," IMPC_BLK_008_001"
22660," Embedding orientation"," embedding_orientation"," IMPC_BLK_009_001"
44509," Embryo Size"," embryo_size"," IMPC_GEO_019_001"
92576," Embryo Vignette"," Poster style vignette to highlight the embryo development for a line"," IMPC_VIA_068_001"
41918," Embryo turning"," embryo_turning"," IMPC_GEL_011_001"
44827," Embryo weight"," embryo_weight"," IMPC_GEP_023_001"
41916," Embryogenesis Phenotype"," embryogenesis_phenotype"," IMPC_GEL_009_001"
33536," End Date"," end_date"," IMPC_HOU_005_001"
38992," End date"," end_date"," IMPC_EXD_005_001"
29808," Eosinophil cell count"," A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities both of which are signs of a potential problem."," IMPC_HEM_036_001"
29807," Eosinophil differential count"," A white blood cell (WBC) count measures the number of white blood cells in your blood. A WBC differential determines the percentage of each type of white blood cell present in your blood. A differential can also detect immature white blood cells or any abnormalities both of which are signs of a potential problem."," IMPC_HEM_035_001"
36961," Epididymis"," epididymis"," IMPC_PAT_025_002"
47817," Epididymis weight"," epididymis_weight"," IMPC_OWT_005_001"
47824," Epididymis weight to body weight ratio"," epididymis_weight_to_body_weight_ratio"," IMPC_OWT_012_001"
