"gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","pvalue","parameter_name","analysis_id"
"MGI:1349438","Mprip","C57BL","Early adult","CCP_XRY_020_001",1.092571,"Processes on vertebrae","41my2e455l515q6"
"Cyp19a1","4234o0023wxs1r1","IMPC_EYE_026_001","C57BL","Retinal Blood Vessels Pattern",NA,"0.2100818","MGI:88587"
"MGI:102849","Klkb1","C57BL","Early adult","IMPC_DXA_002_001",1.398096,"Fat mass","42g3aqkyt0i04lh"
"Transitional vertebrae","Early adult","42j15xss43iftzo","MGI:1918319","Stox2",0.1259171,"CCP_XRY_060_001","C57BL"
"MGI:96441","Igfbp6","C57BL","Early adult","IMPC_ECG_004_001",1.290975,"RR","43064ge8v73eq7f"
"MGI:107634","0.505758","43vy0d327o45w24","Larp7","C57BL",NA,"Center permanence time","Early adult"
"45kt56k603jb83e","Shape of vertebrae","Pttg1","IMPC_XRY_018_001","0.4163431",NA,"Early adult","MGI:1353578"
"0.05368988","MGI:1925927","GMC_923_001_001","46c7171f0i20416","Rnf20",NA,"C57BL","Early adult"
"MGI:1920723","Iws1","0.7661714","JAXLA_CSD_013_001","47g1y2v79428o2o",NA,"E12.5","Coat - hair distribution - abdomen"
"MGI:1196295","Ptpn20","C57BL","Early adult","M-G-P_005_001_004",1.241714,"Bone Mineral Density (excluding skull)","48153ioeycmsz6c"
"MGI:1915383","Gcsh","C57BL","Early adult","IMPC_GRS_011_001",1.337427,"Forelimb and hindlimb grip strength normalised against body weight","48o00bkr3q4b0hv"
"MGI:2445173","Ppig","C57BL","Early adult","IMPC_HEM_004_001",1.384866,"Hematocrit","4965uz1o0u27j67"
"0.7263304","4e80km82218711h","C57BL","Early adult","Gls2",NA,"MGI:2143539","ESLIM_013_001_003"
"MGI:2146468","Urb1","C57BL","early adult","HRWLLA_OFD_010_001",1.183643,"Periphery distance travelled","4gbk428h50s8l14"
"MGI:1353578","Pttg1","C57BL","Early adult","MGP_PBI_036_001",1.047471,"Monocyte number","4h4766my1s4l61j"
"4hc1w04m31ps1cz","C57BL","Early adult","0.7627073","MGI:1923012",NA,"Aftph","Alanine aminotransferase"
"C57BL","4hj9ssu0qev3g74","MGI:1349438","LVIDs","Early adult",0.6329259,"Mprip","IMPC_ECH_011_001"
"0.3330456","MGI:2146468","C57BL","IMPC_CBC_018_001","Glucose",NA,"Early adult","4j489180o0s731h"
"4mblw4zkw9bc9nu","MGI:1341868","CD11b-high cDC - % of cDC","C57BL","E9.5",0.09017506,"MGP_IMM_066_001","Rfc2"
"MGI:1914243","Smarcd3","C57BL","E12.5","IMPC_ABR_008_001",1.083631,"18kHz-evoked ABR Threshold","4n08vz9ng279c4p"
"MGI:1099431","Sptlc1","C57BL","Middle aged adult","IMPC_CBC_018_001",-0.3650447,"Glucose","4npg5x9frhvo304"
"Ascl4","0.05174631","IMPC_EYE_069_001","Early adult","MGI:1914591",NA,"Left inner nuclear layer","C57BL"
"MGI:107576","Sipa1","C57BL","Early adult","IMPC_EYE_063_001",1.386175,"Right inner nuclear layer","4pjdgcqw1441k89"
"MGI:96958","Golga3","C57BL","Early adult","IMPC_CBC_013_001",1.344141,"Alanine aminotransferase","4r45mw0c2unp5w2"
"MGI:1916971","Nkiras1","C57BL","Early adult","IMPC_DXA_005_001",-0.0720903,"Bone Mineral Content (excluding skull)","4r564e422yzs85f"
"C57BL","MGI:1922248","4s13663pn3odtvi","Early adult","Rab11fip2",NA,"0.8820563","ESLIM_015_001_018"
"C57BL","E12.5","spina bifida","4t3l20ufi7gvr84","0.9207525",NA,"IMPC_GEO_043_002","MGI:1277143"
"Gtf2h3","4x9s7o88e9msw02","Early adult","C57BL","MGI:1277143",NA,"IMPC_CBC_001_001","0.6888602"
"Hematocrit","IMPC_HEM_004_001","0.08630682","Early adult","C57BL",NA,"521790e96b48a2x","Igfbp6"
"Iws1","0.09879829","C58BL","Percentage center movement time","MGI:1920723",NA,"Early adult","impc_ofd_050_001"
"0.1568003","C57BL","Blnk","MGI:96878","533695l42i3q56d",NA,"Early adult","IMPC_ACS_035_001"
"0.8517792","MGI:1915926","IMPC_ACS_034_001","5475t3im0g8n4t0","% Pre-pulse inhibition - PPI2",NA,"C57BL","Dusp22"
"MGI:1341868","Rfc2","C57BL","E9.5","CCP_XRY_020_001",1.481179,"Processes on vertebrae","54e66d7fr447092"
"MGI:1277143","Gtf2h3","C57BL","E9.5","HRWLLA_OFD_010_001",1.330895,"Periphery distance travelled","54jxxm2b383nst8"
"C57BL","Forelimb grip strength measurement mean","MGI:1925836","Srbd1","5702bc906hxp352",NA,"Late adult","0.3933236"
"Early adult","C57BL","Pttg1","576a7p33xm7gf7b","0.4574864",NA,"IMPC_CBC_018_001","MGI:1353578"
"MGI:3648212","KLHDC7B","C57BL","Late adult","IMPC_EYE_092_002",-0.2477956,"Retina (combined)","577oq0g3zo4a876"
"MGI:2442910","Niban2","C57BL","Early adult","IMPC_CSD_028_001",1.455568,"Snout size","5d6fdwx4aek5933"
"MGI:2655333","Grhl3","C57BL","Early adult","GMC_923_001_001",1.305346,"Body weight","5e2e8ga4k6e7it1"
"0.4787335","E9.5","MGI:1925836","Srbd1","C57BL",NA,"Ventral coat/hair colour pattern","5jvzv1mu72qsosb"
"MGI:2684916","Ppp1r36","C57BL","Early adult","HRWLLA_OFD_050_001",1.078208,"Percentage center movement time","5k6hhvra3m70807"
"mgi:108420","Nfe2l2","C57BL","Early adult","IMPC_CSD_023_001",1.495114,"Vibrissae - presence","5l5f4wn4kt82147"
"MGI:1923760","Trappc9","C57BL","Early adult","TCP_CHL_056_001",1.273052,"baseline Tidal volume","5ln1311761399oz"
"0.4982921","Early adult","MGI:1922875","Mageh1","Periphery permanence time",NA,"5ouu8s8r26zs7w9","IMPC_OFD_012_001"
"MGI:1918252","Mex3b","C57BL","Early adult","GMC_906_001_016",-0.03550354,"Alpha-amylase","5pic975331dz8em"
"baseline Tidal volume","TCP_CHL_056_001","MGI:1349438","Mprip","0.9069969",NA,"E12.5","5ri745sfj93t070"
"MGI:2146468","Urb1","C57BL","Early adult","TCP_CHL_078_001",1.337263,"12.5 Mch Expiratory time","5ua552m80nn7rj2"
"C57BL","0.1214963","Percentage center time","5v9980r5iw02e40","E18.5",NA,"Smarcd3","IMPC_OFD_022_001"
"MGI:98446","Med22","C57BL","Early adult","HRWLLA_OFD_050_001",1.321051,"Percentage center movement time","5vm1f5zxyq53m0v"
"MGI:1277143","Gtf2h3","C57BL","E9.5","HRWLLA_CSD_036_001",1.492114,"Startle response","5x0o4zf6kw1p989"
"MGI:1918946","Abhd8","C57BL","Early adult","MGP_PBI_036_001",1.092098,"Monocyte number","5ya7v1i2u46781o"
"5z4pq2f1942o204","Late adult","MGI:1099431","Periphery distance travelled","0.09504876",NA,"C57BL","Sptlc1"
"C57BL","TCP_CHL_057_001","Ascl4","Early adult","0.4334102",NA,"5zt78920583ytc3","PBS Tidal volume"
"MGI:2181434","Phc3","C57BL","Early adult","MGP_IMM_101_001",1.057254,"KLRG1+ NK cells - % of CD45+","604f327p0lc9z89"
"Forelimb grip strength measurement mean","C57BL","0.9262598","607f28i30138iu7","Sptlc1",NA,"MGI:1099431","E9.5"
"MGI:2655333","Grhl3","C57BL","Early adult","GMC_914_001_002",-0.2123112,"Body temperature rectal","60j0j02861016o1"
"MGI:102849","Klkb1","C57BL","Early adult","IMPC_EYE_017_001",1.007405,"Lens Opacity","61aelv6shmkzf48"
"MGI:2442708","Pheta1","C57BL","Early adult","HRWLLA_CSD_033_001",1.150394,"Gait","626au6zc6ss955g"
"MGI:2446460","Tpte","C57BL","Early adult","IMPC_ACS_035_001",1.417321,"% Pre-pulse inhibition - PPI3","6271q582849t52w"
"Alanine aminotransferase","C57BL","MGI:3652053","62724uk10huxp55","Gm13889",0.8484269,"Early adult","M-G-P_025_001_014"
"MGI:96878","Blnk","C57BL","Early adult","M-G-P_005_001_006",1.087301,"Body Length","62q87212068a42y"
"MGI:1920723","Iws1","C57BL","E9.5","IMPC_CSD_039_001",1.009488,"Limb grasp","62xpk876k30z6hj"
"MGI:1276533","Ncoa2","C57BL","E18.5","IMPC_CBC_015_001",1.069048,"Total cholesterol","63334j12vgu9l4t"
"IMPC_HEM_001_001","C57BL","MGI:2442782","White blood cell count","Early adult",NA,"633g30g656856zf","4.022521e-10"
"MGI:88587","Cyp19a1","C57BL","Late adult","IMPC_DXA_009_001",1.091065,"Fat/Body weight","63626b9y83vm8gx"
"MGI:1917565","Hdac8","C57BL","Early adult","IMPC_DXA_003_001",-0.2721394,"Lean mass","63q5o17aa0s50jb"
"IMPC_XRY_012_001","C57BL","Early adult","63sb5elf6m824qh","MGI:1923012",NA,"0.4028411","Aftph"
"0.1576208","MGI:96441","Coat - color - abdomen","IMPC_CSD_007_001","6559jq347k99096",NA,"C57BL","Early adult"
"MGI:2685335","Mctp2","C57BL","Early adult","IMPC_GRS_010_001",-0.3080024,"Forelimb grip strength normalised against body weight","65qiz79a33390bo"
"MGI:1915926","Dusp22","C57BL","Early adult","IMPC_HEM_037_001",1.246351,"Basophil cell count","6607t3uqu48pw93"
"C57BL","Min left eye lens density","Srbd1","0.9112323","6619ccxd07si186",NA,"MGI:1925836","E9.5"
"MGI:2682314","C57BL","0.185278","IMPC_CBC_020_001","E15.5",NA,"671zm3r81ggc746","Fructosamine"
"C57BL","Trappc9","Early adult","Center distance travelled","0.4158844",NA,"67gqeu3y7173h8r","MGI:1923760"
"0.8144002","C57BL","Middle aged adult","MGI:88587","Cyp19a1",NA,"IMPC_CBC_009_001","Calcium"
"68e87948hpx9091","Early adult","0.6303033","Alpk1","MGI:1918731",NA,"C57BL","% Pre-pulse inhibition - PPI2"
"MGI:107162","Ppp3cc","C57BL","Early adult","JAX_OFD_013_001",-0.4765048,"Periphery average speed","68tcm1024263z69"
"MGI:1918319","Stox2","C57BL","Early adult","IMPC_OFD_012_001",1.11641,"Periphery permanence time","698296698566u05"
"0.7883666","Early adult","IMPC_HEM_033_001","Blnk","MGI:96878",NA,"C57BL","69ik0c65eh33695"
"69jq044m1112l8c","Fructosamine","MGI:1349438","E15.5","IMPC_CBC_020_001",0.1872197,"Mprip","C57BL"
"0.3996819","MGI:3037818","C57BL","6a37f10k4g1oe40","Lens",NA,"IMPC_EYE_016_001","Cxcl3"
"MGI:1914591","Ascl4","C57BL","Early adult","IMPC_ACS_037_001",1.104963,"% Pre-pulse inhibition - Global","6c9t610038w5n61"
"MGI:1915349","Cibar1","C57BL","Early adult","IMPC_HEM_033_001",1.303892,"Monocyte differential count","6cmywd11866438k"
"MGI:1098801","Otud4","C57BL","E18.5","HRWLLA_CSD_029_001",1.24218,"Activity (body position)","6ei29a39mv0oy32"
"MGI:3652053","IMPC_HEM_005_001","Gm13889","6j0ua5878p059fu","C57BL",NA,"0.07897125","Early adult"
"C57BL","6k2829j27645wrr","Ears","IMPC_CSD_027_001","MGI:2146468",NA,"0.9940789","URB1"
"MGI:3648212","Klhdc7b","C57BL","Early adult","IMPC_HEM_031_001",1.112507,"Lymphocyte differential count","6o0ug0b2kbk5zo4"
"MGI:102849","Klkb1","C57BL","Early adult","MGP_IMM_067_001",1.147852,"CD11b-low cDC - % of cDC","6pdvs2r67357j00"
"MGI:108420","Nfe2l2","C57BL","Early adult","IMPC_XRY_018_001",-0.1532521,"Shape of vertebrae","6trt0p8m10b1994"
"MGI:2655333","Grhl3","C57BL","Early adult","MGP_CSD_027_001",1.330845,"Ventral coat/hair colour pattern","6ty414v55kmrwj9"
"MGI:1276533","Platelet count","Ncoa2","0.3189366","E18.5",NA,"HRWLLA_HEM_008_001","C57BL"
"ESLIM_015_001_002","Urea","C57BL","Early adult","0.7313858",NA,"6v80d3a26ci4c45","Pde6b"
"C57BL","6wz26o56hhei7k2","MGI:3040687","0.09120613","Spag6",NA,"Insulin","Early adult"
"Early adult","MGI:1277143","Gtf2h3","IMPC_EYE_025_001","C57BL",NA,"0.4680153","703k946s780l79p"
"MGI:1925836","IMPC_CBC_013_001","0.1388699","C57BL","Middle aged adult",NA,"Srbd1","Alanine aminotransferase"
"MGI:1917565","Hdac8","C57BL","Early adult","HRWLLA_HEM_035_001",1.424233,"Eosinophil differential count","70km72h543hu352"
"MGI:1333877","Gpr50","C57BL","Early adult","IMPC_CBC_020_001",1.219789,"Fructosamine","710hu91s0j2ir35"
"MGI:894284","IMPC_EYE_017_001","Early adult","Lens Opacity","71d93u2up0hcdzv",NA,"C57BL","0.5160108"
